CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME
1040850|475074|728892,Submit,Submit,10/4/2019 11:33:50
1040850|475074|728892,AR - Satisfied - entry points,AR - Satisfied - Entry points (Master of Information Technology),11/4/2019 17:07:41
1040850|475074|728892,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,11/4/2019 17:12:14
1040850|475074|728892,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,11/4/2019 17:37:55
1040850|475074|728892,AR - Satisfied - specialisation,AR - Satisfied - Specialisation (Master of Information Technology),11/4/2019 17:38:01
1040850|475074|728892,AR - Satisfied - syllabus,AR - Satisfied - Official syllabus or subject descriptions (in English),11/4/2019 17:38:18
1040850|475074|728892,Assessment Decision - Not Qualified,Assessment Decision - Not Qualified,11/4/2019 17:44:51
1040850|475074|728892,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,11/4/2019 17:45:18
1074788|435564|673675,Submit without notification,Submit without notification,16/1/2019 16:56:28
1074788|435564|673675,AR - Satisfied - advanced standing,AR - Satisfied - Advanced Standing,22/2/2019 8:19:26
1074788|435564|673675,AR - Satisfied - GAM,AR - Satisfied - Graduate Access Melbourne,22/2/2019 8:19:32
1074788|435564|673675,AR - Satisfied - application details,AR - Satisfied - Current enrolment at the University of Melbourne,22/2/2019 8:19:37
1074788|435564|673675,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,22/2/2019 8:19:49
1074788|435564|673675,AR - Created - Other,AR - Created - Assessment information (Coursework) (1),22/2/2019 8:22:39
1074788|435564|673675,AR - Satisfied - Other,AR - Satisfied - Assessment information (Coursework) (1),22/2/2019 8:25:48
1074788|435564|673675,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,22/2/2019 8:25:59
1074788|435564|673675,Assessment Decision - Qualified,Assessment Decision - Qualified,22/2/2019 8:27:33
1074788|435564|673675,Send for Assessment,Send for Assessment,22/2/2019 8:27:42
1074788|435564|673675,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,22/2/2019 14:42:43
1074788|435564|673675,Assessment Decision - Qualified,Assessment Decision - Qualified,26/2/2019 15:58:15
1074788|435564|673675,Acacdemic - Assessment Decision - Qualified,Acacdemic - Assessment Decision - Qualified,28/2/2019 14:43:10
1074788|435564|673675,Assessment Outcome - Successful,Assessment Outcome - Successful,8/3/2019 10:53:05
1074788|435564|673675,Create Offer,Create Offer,8/3/2019 10:53:16
1074788|435564|673675,Release Offer,Release Offer,8/3/2019 10:54:09
1074788|435564|673675,Accept,Accept,8/3/2019 20:27:05
1074788|435564|673675,Auto Finalise,Auto Finalise,8/3/2019 20:27:16
1074788|435564|673675,Allow Workflow Restart,Allow Workflow Restart,8/3/2019 20:27:18
1074788|435564|673675,Restart Offer Workflow,Restart Offer Workflow,23/8/2019 9:05:54
1074788|435564|673675,Release Offer,Release Offer,23/8/2019 9:05:59
1074788|435564|673675,Defer,Defer,23/8/2019 9:06:14
832979|559221|855599,Submit,Submit,9/12/2019 21:44:47
832979|559221|855599,AR - Created - previous or current study,AR - Created - University of Melbourne Statement of Results / transcript,10/12/2019 8:21:49
832979|559221|855599,AR - Satisfied - previous or current study,AR - Satisfied - University of Melbourne Statement of Results / transcript,10/12/2019 8:22:41
832979|559221|855599,AR - Satisfied - GAM,AR - Satisfied - Graduate Access Melbourne,6/1/2020 12:27:55
832979|559221|855599,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,6/1/2020 12:28:13
832979|559221|855599,AR - Created - Other,AR - Created - Assessment information (Coursework) (1),6/1/2020 12:28:30
832979|559221|855599,AR - Satisfied - Other,AR - Satisfied - Assessment information (Coursework) (1),6/1/2020 12:28:48
832979|559221|855599,AR - Satisfied - application details,AR - Satisfied - Current enrolment at the University of Melbourne,6/1/2020 14:00:06
832979|559221|855599,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,6/1/2020 14:00:25
832979|559221|855599,Put Triage On-Hold,Put Triage On-Hold,6/1/2020 14:18:26
832979|559221|855599,Assessment Decision - Not Qualified,Assessment Decision - Not Qualified,8/1/2020 12:30:07
832979|559221|855599,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,8/1/2020 12:31:04
940941|478904|734666,Submit,Submit,26/4/2019 17:42:59
940941|478904|734666,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,28/5/2019 12:52:34
1078451|439932|680223,Submit,Submit,26/1/2019 5:27:42
1078451|439932|680223,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,18/2/2019 15:32:31
1078451|439932|680223,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study - non-University of Melbourne students,18/2/2019 15:32:31
1078451|439932|680223,AR - Created - Other,AR - Created - Assessment information (Coursework) (1),18/2/2019 15:44:51
1078451|439932|680223,Assessment Decision - Not Qualified,Assessment Decision - Not Qualified,18/2/2019 15:48:07
1078451|439932|680223,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,18/2/2019 15:48:07
776683|418710|648999,Submit,Submit,9/11/2018 15:34:27
776683|418710|648999,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,28/11/2018 10:10:47
776683|418710|648999,AR - Not Satisfied - ELR,AR - Not Satisfied - English language proficiency,28/11/2018 10:14:17
776683|418710|648999,OC - Created - Other,OC - Created - English language requirements,28/11/2018 10:31:21
776683|418710|648999,AR - Created - Other,AR - Created - Assessment information (Coursework) (1),28/11/2018 10:31:42
776683|418710|648999,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,28/11/2018 10:40:03
776683|418710|648999,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,28/11/2018 10:42:39
776683|418710|648999,Put Triage On-Hold,Put Triage On-Hold,28/11/2018 10:44:29
1123425|494794|759824,Submit,Submit,28/6/2019 18:44:33
1123425|494794|759824,AR - Requested - advanced standing,AR - Requested - Credit for previous study,31/7/2019 14:18:04
1123425|494794|759824,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,31/7/2019 14:19:21
1123425|494794|759824,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,31/7/2019 14:20:50
1123425|494794|759824,AR - Satisfied - previous or current study,AR - Satisfied - Transcript � My eQuals,31/7/2019 14:21:43
1123425|494794|759824,Assessment Decision - Not Qualified,Assessment Decision - Not Qualified,31/7/2019 15:13:12
1123425|494794|759824,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,31/7/2019 15:13:53
940941|478904|734664,Submit,Submit,26/4/2019 17:42:59
940941|478904|734664,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,28/5/2019 12:52:14
940941|478904|734664,Assessment Decision - Not Qualified,Assessment Decision - Not Qualified,28/5/2019 12:52:14
1123425|494794|759823,Submit,Submit,28/6/2019 18:44:33
1123425|494794|759823,AR - Requested - advanced standing,AR - Requested - Credit for previous study,31/7/2019 14:18:04
1123425|494794|759823,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,31/7/2019 14:19:21
1123425|494794|759823,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,31/7/2019 14:20:50
1123425|494794|759823,AR - Satisfied - previous or current study,AR - Satisfied - Transcript � My eQuals,31/7/2019 14:21:43
1123425|494794|759823,AR - Created - Other,AR - Created - Assessment information (Coursework) (1),31/7/2019 14:48:36
1123425|494794|759823,Assessment Decision - Not Qualified,Assessment Decision - Not Qualified,31/7/2019 15:10:03
1123425|494794|759823,Assessment Outcome - Not Successful,Assessment Outcome - Not Successful,31/7/2019 15:10:38
982473|312954|495667,Submit without notification,Submit without notification,29/11/2017 12:59:26
982473|312954|495667,AR - Satisfied - previous or current study,AR - Satisfied - Academic results for prior tertiary studies,6/12/2017 16:05:13
982473|312954|495667,AR - Satisfied - agent,AR - Satisfied - Appointment of authorised representative,6/12/2017 16:36:34
982473|312954|495667,AR - Created - syllabus,AR - Created - Syllabus (Melbourne School of Engineering),6/12/2017 16:37:46
982473|312954|495667,AR - Not Satisfied - ELR,AR - Not Satisfied - English language proficiency,6/12/2017 16:38:45
982473|312954|495667,OC - Created - Other,OC - Created - English language requirements,6/12/2017 16:38:53
982473|312954|495667,Put Triage On-Hold,Put Triage On-Hold,6/12/2017 16:42:33
982473|312954|495667,AR - Requested - advanced standing,AR - Requested - Syllabus requirements,6/12/2017 18:09:38
982473|312954|495667,AR - Satisfied - advanced standing,AR - Satisfied - Credit for previous study,9/1/2018 18:09:38
982473|312954|495667,Release Triage Hold,Release Triage Hold,9/1/2018 18:09:56
982473|312954|495667,Send for Assessment,Send for Assessment,9/1/2018 18:10:38
982473|312954|495667,Assessment Decision - Qualified,Assessment Decision - Qualified,12/2/2018 9:40:10
982473|312954|495667,Acacdemic - Assessment Decision - Qualified,Acacdemic - Assessment Decision - Qualified,18/2/2018 20:47:23
982473|312954|495667,End My Assessment,End My Assessment,18/2/2018 20:50:01
982473|312954|495667,Assessment Outcome - Successful,Assessment Outcome - Successful,23/2/2018 16:07:16
982473|312954|495667,Create Offer,Create Offer,23/2/2018 16:07:31
982473|312954|495667,Release Offer,Release Offer,23/2/2018 16:09:27
