CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME,time_used_str,time_used_second
1076747|438001|677047,Assessment Outcome - Successful,Assessment Outcome - Successful,15/1/2019 16:46:30,0 days 0 hours 0 minutes 13 seconds,13.0
1076747|438001|677047,Create Offer,Create Offer,15/1/2019 16:46:43,0 days 0 hours 38 minutes 55 seconds,2335.0
1076747|438001|677047,Release Offer,Release Offer,15/1/2019 17:25:38,NA,0.0
783739|454578|698529,Assessment Outcome - Successful,Assessment Outcome - Successful,5/2/2019 14:09:31,0 days 0 hours 0 minutes 7 seconds,7.0
783739|454578|698529,Create Offer,Create Offer,5/2/2019 14:09:38,0 days 0 hours 1 minutes 15 seconds,75.0
783739|454578|698529,Release Offer,Release Offer,5/2/2019 14:10:53,NA,0.0
1138305|515182|790060,Assessment Outcome - Successful,Assessment Outcome - Successful,13/12/2019 16:33:19,0 days 0 hours 0 minutes 12 seconds,12.0
1138305|515182|790060,Create Offer,Create Offer,13/12/2019 16:33:31,0 days 0 hours 2 minutes 15 seconds,135.0
1138305|515182|790060,OC - Created - Other,OC - Created - Evidence of course completion,13/12/2019 16:35:46,0 days 0 hours 0 minutes 22 seconds,22.0
1138305|515182|790060,Release Offer,Release Offer,13/12/2019 16:36:08,NA,0.0
1037562|386109|651820,Assessment Outcome - Successful,Assessment Outcome - Successful,15/11/2018 10:46:51,0 days 0 hours 0 minutes 0 seconds,0.0
1037562|386109|651820,Assessment Decision - Qualified,Assessment Decision - Qualified,15/11/2018 10:46:51,0 days 0 hours 0 minutes 15 seconds,15.0
1037562|386109|651820,Create Offer,Create Offer,15/11/2018 10:47:06,0 days 0 hours 11 minutes 11 seconds,671.0
1037562|386109|651820,Release Offer,Release Offer,15/11/2018 10:58:17,NA,0.0
1052649|403155|625720,Assessment Outcome - Successful,Assessment Outcome - Successful,1/11/2018 14:24:00,0 days 0 hours 1 minutes 35 seconds,95.0
1052649|403155|625720,Create Offer,Create Offer,1/11/2018 14:25:35,0 days 0 hours 0 minutes 26 seconds,26.0
1052649|403155|625720,Release Offer,Release Offer,1/11/2018 14:26:01,NA,0.0
1114684|484215|743082,Assessment Outcome - Successful,Assessment Outcome - Successful,3/7/2019 9:35:46,0 days 0 hours 0 minutes 9 seconds,9.0
1114684|484215|743082,Create Offer,Create Offer,3/7/2019 9:35:55,0 days 0 hours 2 minutes 40 seconds,160.0
1114684|484215|743082,Release Offer,Release Offer,3/7/2019 9:38:35,NA,0.0
1062725|419008|649432,Assessment Outcome - Successful,Assessment Outcome - Successful,10/1/2019 11:30:19,0 days 0 hours 0 minutes 6 seconds,6.0
1062725|419008|649432,Create Offer,Create Offer,10/1/2019 11:30:25,0 days 0 hours 2 minutes 3 seconds,123.0
1062725|419008|649432,Release Offer,Release Offer,10/1/2019 11:32:28,NA,0.0
1068985|426862|661450,Assessment Outcome - Successful,Assessment Outcome - Successful,24/12/2018 10:39:45,0 days 0 hours 0 minutes 9 seconds,9.0
1068985|426862|661450,Create Offer,Create Offer,24/12/2018 10:39:54,0 days 0 hours 13 minutes 44 seconds,824.0
1068985|426862|661450,Release Offer,Release Offer,24/12/2018 10:53:38,NA,0.0
660857|474347|727887,Assessment Outcome - Successful,Assessment Outcome - Successful,10/5/2019 15:21:45,0 days 0 hours 0 minutes 8 seconds,8.0
660857|474347|727887,Create Offer,Create Offer,10/5/2019 15:21:53,10 days 23 hours 36 minutes 12 seconds,948972.0
660857|474347|727887,Release Offer,Release Offer,21/5/2019 14:58:05,NA,0.0
1061850|416881|646276,Assessment Outcome - Successful,Assessment Outcome - Successful,26/3/2019 16:35:22,0 days 0 hours 0 minutes 12 seconds,12.0
1061850|416881|646276,Create Offer,Create Offer,26/3/2019 16:35:34,0 days 0 hours 0 minutes 46 seconds,46.0
1061850|416881|646276,Release Offer,Release Offer,26/3/2019 16:36:20,NA,0.0
354059|390663|608273,Assessment Outcome - Successful,Assessment Outcome - Successful,18/10/2018 11:17:17,0 days 0 hours 0 minutes 23 seconds,23.0
354059|390663|608273,Create Offer,Create Offer,18/10/2018 11:17:40,0 days 0 hours 0 minutes 57 seconds,57.0
354059|390663|608273,Release Offer,Release Offer,18/10/2018 11:18:37,NA,0.0
1132420|507235|778296,Assessment Outcome - Successful,Assessment Outcome - Successful,12/10/2019 11:26:46,0 days 0 hours 0 minutes 12 seconds,12.0
1132420|507235|778296,Create Offer,Create Offer,12/10/2019 11:26:58,0 days 0 hours 1 minutes 52 seconds,112.0
1132420|507235|778296,Release Offer,Release Offer,12/10/2019 11:28:50,NA,0.0
1037818|382051|595063,Assessment Outcome - Successful,Assessment Outcome - Successful,14/9/2018 12:06:20,0 days 0 hours 0 minutes 13 seconds,13.0
1037818|382051|595063,Create Offer,Create Offer,14/9/2018 12:06:33,0 days 0 hours 9 minutes 53 seconds,593.0
1037818|382051|595063,Release Offer,Release Offer,14/9/2018 12:16:26,NA,0.0
1103842|474147|727584,Assessment Outcome - Successful,Assessment Outcome - Successful,28/5/2019 14:00:21,0 days 0 hours 0 minutes 13 seconds,13.0
1103842|474147|727584,Create Offer,Create Offer,28/5/2019 14:00:34,0 days 0 hours 8 minutes 34 seconds,514.0
1103842|474147|727584,Release Offer,Release Offer,28/5/2019 14:09:08,NA,0.0
1110447|479220|735089,Assessment Outcome - Successful,Assessment Outcome - Successful,12/6/2019 13:17:51,0 days 0 hours 0 minutes 17 seconds,17.0
1110447|479220|735089,Create Offer,Create Offer,12/6/2019 13:18:08,0 days 0 hours 2 minutes 19 seconds,139.0
1110447|479220|735089,Release Offer,Release Offer,12/6/2019 13:20:27,NA,0.0
1111306|480248|736601,Assessment Outcome - Successful,Assessment Outcome - Successful,11/5/2019 14:33:16,0 days 0 hours 0 minutes 7 seconds,7.0
1111306|480248|736601,Create Offer,Create Offer,11/5/2019 14:33:23,0 days 0 hours 1 minutes 35 seconds,95.0
1111306|480248|736601,AR - Satisfied - ELR,AR - Satisfied - English language proficiency,11/5/2019 14:34:58,0 days 0 hours 0 minutes 33 seconds,33.0
1111306|480248|736601,Release Offer,Release Offer,11/5/2019 14:35:31,NA,0.0
1090139|454580|698531,Assessment Outcome - Successful,Assessment Outcome - Successful,7/2/2019 15:17:07,0 days 0 hours 0 minutes 10 seconds,10.0
1090139|454580|698531,Create Offer,Create Offer,7/2/2019 15:17:17,0 days 0 hours 2 minutes 13 seconds,133.0
1090139|454580|698531,Release Offer,Release Offer,7/2/2019 15:19:30,NA,0.0
161176|451563|693990,Assessment Outcome - Successful,Assessment Outcome - Successful,26/2/2019 8:56:07,0 days 0 hours 0 minutes 16 seconds,16.0
161176|451563|693990,Create Offer,Create Offer,26/2/2019 8:56:23,0 days 0 hours 2 minutes 4 seconds,124.0
161176|451563|693990,Release Offer,Release Offer,26/2/2019 8:58:27,NA,0.0
1034720|382304|595455,Assessment Outcome - Successful,Assessment Outcome - Successful,13/9/2018 16:25:36,0 days 0 hours 0 minutes 12 seconds,12.0
1034720|382304|595455,Create Offer,Create Offer,13/9/2018 16:25:48,0 days 0 hours 0 minutes 39 seconds,39.0
1034720|382304|595455,OC - Created - Other,OC - Created - English language requirements,13/9/2018 16:26:27,0 days 0 hours 0 minutes 2 seconds,2.0
1034720|382304|595455,Release Offer,Release Offer,13/9/2018 16:26:29,NA,0.0
1110498|479274|735167,Assessment Outcome - Successful,Assessment Outcome - Successful,16/5/2019 15:36:08,0 days 0 hours 0 minutes 14 seconds,14.0
1110498|479274|735167,Create Offer,Create Offer,16/5/2019 15:36:22,0 days 0 hours 2 minutes 10 seconds,130.0
1110498|479274|735167,Release Offer,Release Offer,16/5/2019 15:38:32,NA,0.0
1021374|372858|581409,Assessment Outcome - Successful,Assessment Outcome - Successful,15/8/2018 11:53:20,0 days 0 hours 0 minutes 13 seconds,13.0
1021374|372858|581409,Create Offer,Create Offer,15/8/2018 11:53:33,0 days 0 hours 2 minutes 51 seconds,171.0
1021374|372858|581409,Release Offer,Release Offer,15/8/2018 11:56:24,NA,0.0
1027704|369135|575961,Assessment Outcome - Successful,Assessment Outcome - Successful,28/8/2018 13:07:08,0 days 0 hours 0 minutes 28 seconds,28.0
1027704|369135|575961,Create Offer,Create Offer,28/8/2018 13:07:36,0 days 0 hours 9 minutes 17 seconds,557.0
1027704|369135|575961,Release Offer,Release Offer,28/8/2018 13:16:53,NA,0.0
1105143|473407|726500,Assessment Outcome - Successful,Assessment Outcome - Successful,11/5/2019 12:34:55,0 days 0 hours 0 minutes 9 seconds,9.0
1105143|473407|726500,Create Offer,Create Offer,11/5/2019 12:35:04,0 days 0 hours 0 minutes 26 seconds,26.0
1105143|473407|726500,Release Offer,Release Offer,11/5/2019 12:35:30,NA,0.0
1045755|392141|610470,Assessment Outcome - Successful,Assessment Outcome - Successful,12/10/2018 14:24:00,0 days 0 hours 0 minutes 13 seconds,13.0
1045755|392141|610470,Create Offer,Create Offer,12/10/2018 14:24:13,0 days 0 hours 2 minutes 55 seconds,175.0
1045755|392141|610470,Release Offer,Release Offer,12/10/2018 14:27:08,NA,0.0
