CASE_ID,WRKFLW_TSK_MAP_GROUPED,WRKFLW_TSK_MAP_DETAILED,PATH_CRDATETIME,time_used_str,time_used_second
834579|497265|763633,Accept,Accept,4/12/2019 1:58:43,NA,0.0
1133127|508191|779818,Release Offer,Release Offer,12/10/2019 15:02:14,16 days 22 hours 38 minutes 58 seconds,1463938.0
1133127|508191|779818,OC - Satisfied - Other,OC - Satisfied - English language requirements,29/10/2019 13:41:12,92 days 1 hours 15 minutes 13 seconds,7953313.0
1133127|508191|779818,Defer,Defer,29/1/2020 14:56:25,NA,0.0
1054087|405700|629279,Release Offer,Release Offer,18/10/2018 11:01:38,12 days 3 hours 21 minutes 13 seconds,1048873.0
1054087|405700|629279,AR - Created - Other,AR - Created - Assessment information (Coursework) (1),30/10/2018 14:22:51,104 days 20 hours 50 minutes 47 seconds,9060647.0
1054087|405700|629279,Put Assessment On-Hold,Put Assessment On-Hold,12/2/2019 11:13:38,217 days 0 hours 2 minutes 11 seconds,18748931.0
1054087|405700|629279,Release Assessment Hold,Release Assessment Hold,17/9/2019 11:15:49,NA,0.0
1056911|417015|646465,Release Offer,Release Offer,4/12/2018 16:31:24,3 days 1 hours 13 minutes 3 seconds,263583.0
1056911|417015|646465,Accept,Accept,7/12/2018 17:44:27,NA,0.0
1025305|366531|571922,Release Offer,Release Offer,18/7/2018 10:39:48,0 days 0 hours 1 minutes 5 seconds,65.0
1025305|366531|571922,Assessment Decision - No Decision,Assessment Decision - No Decision,18/7/2018 10:40:53,0 days 0 hours 26 minutes 44 seconds,1604.0
1025305|366531|571922,Assessment Decision - No Decision,Assessment Decision - No Decision,18/7/2018 11:07:37,13 days 22 hours 30 minutes 56 seconds,1204256.0
1025305|366531|571922,End My Assessment,End My Assessment,1/8/2018 9:38:33,0 days 0 hours 18 minutes 59 seconds,1139.0
1025305|366531|571922,Assessment Decision - No Decision,Assessment Decision - No Decision,1/8/2018 9:57:32,45 days 3 hours 23 minutes 35 seconds,3900215.0
1025305|366531|571922,Decline,Decline,15/9/2018 13:21:07,NA,0.0
1116512|486416|746788,Release Offer,Release Offer,4/6/2019 12:03:26,6 days 6 hours 44 minutes 51 seconds,542691.0
1116512|486416|746788,Accept,Accept,10/6/2019 18:48:17,NA,0.0
1075305|437160|675799,Release Offer,Release Offer,26/3/2019 16:00:47,90 days 7 hours 45 minutes 22 seconds,7803922.0
1075305|437160|675799,Decline,Decline,24/6/2019 23:46:09,NA,0.0
1045292|395605|615665,Release Offer,Release Offer,7/12/2018 13:38:11,NA,0.0
1179697|573960|874171,Release Offer,Release Offer,24/1/2020 16:05:11,3 days 3 hours 52 minutes 4 seconds,273124.0
1179697|573960|874171,Accept,Accept,27/1/2020 19:57:15,NA,0.0
1077299|440564|681102,Release Offer,Release Offer,12/2/2019 8:12:58,41 days 2 hours 54 minutes 31 seconds,3552871.0
1077299|440564|681102,Defer,Defer,25/3/2019 11:07:29,NA,0.0
1094186|460098|706687,Release Offer,Release Offer,11/5/2019 11:21:35,NA,0.0
1064973|420801|652109,Release Offer,Release Offer,20/2/2019 14:42:30,0 days 4 hours 14 minutes 34 seconds,15274.0
1064973|420801|652109,Accept,Accept,20/2/2019 18:57:04,NA,0.0
958145|268178|427378,Release Offer,Release Offer,12/9/2017 16:15:26,7 days 5 hours 36 minutes 1 seconds,624961.0
958145|268178|427378,Manage Acceptance,Manage Acceptance,19/9/2017 21:51:27,0 days 0 hours 0 minutes 0 seconds,0.0
958145|268178|427378,Accept,Accept,19/9/2017 21:51:27,NA,0.0
1113797|483123|741281,Release Offer,Release Offer,28/5/2019 12:38:06,1 days 8 hours 13 minutes 41 seconds,116021.0
1113797|483123|741281,Accept,Accept,29/5/2019 20:51:47,NA,0.0
1023596|363705|567084,Release Offer,Release Offer,4/7/2018 12:28:30,10 days 5 hours 12 minutes 32 seconds,882752.0
1023596|363705|567084,Accept,Accept,14/7/2018 17:41:02,NA,0.0
1113932|483313|741599,Release Offer,Release Offer,24/5/2019 14:44:13,51 days 9 hours 10 minutes 36 seconds,4439436.0
1113932|483313|741599,Defer,Defer,14/7/2019 23:54:49,NA,0.0
1111795|503247|772407,Release Offer,Release Offer,12/10/2019 16:23:30,11 days 3 hours 36 minutes 10 seconds,963370.0
1111795|503247|772407,Accept,Accept,23/10/2019 19:59:40,NA,0.0
1033983|377298|587978,Release Offer,Release Offer,6/8/2018 16:24:18,NA,0.0
972422|400054|621668,Release Offer,Release Offer,7/12/2018 13:51:40,NA,0.0
1021829|361369|563371,Release Offer,Release Offer,15/6/2018 15:20:02,NA,0.0
1041587|386786|602292,Release Offer,Release Offer,12/10/2018 12:04:51,62 days 3 hours 21 minutes 13 seconds,5368873.0
1041587|386786|602292,Accept,Accept,13/12/2018 15:26:04,NA,0.0
1008291|344923|538678,Release Offer,Release Offer,16/3/2018 16:01:33,326 days 11 hours 21 minutes 15 seconds,28207275.0
1008291|344923|538678,Accept,Accept,6/2/2019 3:22:48,NA,0.0
1050718|398720|620149,Release Offer,Release Offer,4/4/2019 14:12:52,3 days 14 hours 49 minutes 5 seconds,312545.0
1050718|398720|620149,Defer,Defer,8/4/2019 5:01:57,NA,0.0
1093614|459356|705552,Release Offer,Release Offer,31/5/2019 11:48:48,26 days 6 hours 9 minutes 7 seconds,2268547.0
1093614|459356|705552,Accept,Accept,26/6/2019 17:57:55,NA,0.0
1124743|501279|769447,Release Offer,Release Offer,12/10/2019 13:25:37,25 days 8 hours 56 minutes 46 seconds,2192206.0
1124743|501279|769447,Decline,Decline,6/11/2019 22:22:23,NA,0.0
760917|549247|840467,Release Offer,Release Offer,30/1/2020 15:19:11,0 days 0 hours 52 minutes 59 seconds,3179.0
760917|549247|840467,Accept,Accept,30/1/2020 16:12:10,NA,0.0
1164668|554728|848470,Release Offer,Release Offer,17/12/2019 14:00:17,38 days 19 hours 27 minutes 41 seconds,3353261.0
1164668|554728|848470,Accept,Accept,25/1/2020 9:27:58,NA,0.0
1086364|448364|689547,Release Offer,Release Offer,10/5/2019 14:18:04,6 days 23 hours 58 minutes 32 seconds,604712.0
1086364|448364|689547,AR - Satisfied - syllabus,AR - Satisfied - Official syllabus or subject descriptions (in English),17/5/2019 14:16:36,NA,0.0
961605|274057|436445,Release Offer,Release Offer,16/11/2017 15:39:16,NA,0.0
1094392|460391|707157,Release Offer,Release Offer,30/5/2019 15:32:35,NA,0.0
982801|348906|544484,Release Offer,Release Offer,31/5/2018 11:42:45,0 days 22 hours 33 minutes 0 seconds,81180.0
982801|348906|544484,Defer,Defer,1/6/2018 10:15:45,NA,0.0
855738|481191|738122,Release Offer,Release Offer,28/5/2019 9:20:38,10 days 13 hours 41 minutes 11 seconds,913271.0
855738|481191|738122,Accept,Accept,7/6/2019 23:01:49,NA,0.0
