"","CASE_ID","STU_CITIZEN_NM","STU_ABOR_TSI_NM","SUBMISSION_METHOD","ENTRY_TYPE","ASSESSMENT_DECISION_NM","ASSESSMENT_OUTCOME_NM","LAST_COUNTRY_EDUCATION","PREFERENCE_NO","AVAIL_ORG_UNIT_NM","STUDY_MODE_CD","RETURNING_DEFERRAL","CURR_AVAIL_YR","CURR_STUDY_PERIOD","ORIG_AVAIL_YR","ORIG_STUDY_PERIOD","SPK_CAT_TYPE_CD","OFFER_RELEASED_FG","OFFER_OUTCOME_CD","OFFER_CONDITIONS"
"19367","1016639|354985|553472","Temporary Entry Permit","No","External Agency Application Load","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$ACC","N"
"19398","1016693|354997|553490","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Mexico","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"19412","1016711|355024|553528","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","","Y"
"19431","828762|355108|553660","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"19448","1016820|355189|553776","Temporary Entry Permit","No","Online Application","","Not Assessed","Higher Preference Successful","United States of America","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"19453","1016820|355189|553777","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","Successful","United States of America","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"19471","1016820|355189|553778","Temporary Entry Permit","No","Online Application","","Not Assessed","Higher Preference Successful","United States of America","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"19476","1016715|355280|553909","Temporary Entry Permit","No","Online Application","Masters CW","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","Y"
"19503","1016706|355281|553910","Temporary Entry Permit","No","Online Application","Masters CW","Qualified","Successful","Chile","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"19516","983358|355285|553915","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","Successful","United Kingdom","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","Y"
"19547","1016884|355287|553918","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","Y","$ACC","Y"
"19579","1016934|355368|554055","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","","Y"
"19598","1016974|355409|554114","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","United Kingdom","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"19606","1016983|355422|554129","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Portugal","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$ACC","Y"
"19634","1016992|355431|554142","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","India","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$ACC","Y"
"19671","1017001|355441|554156","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","Y","$ACC","Y"
"19702","1017009|355450|554172","Temporary Entry Permit","No","External Agency Application Load","Bachelor (equiv Aust 3yr deg)","Qualified","No Outcome Set","China (excludes SARs and Taiwan)","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"19715","1017026|355466|554193","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Chile","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","Y"
"19724","1017050|355490|554230","Temporary Entry Permit","No","Online Application","","Qualified","Successful","United States of America","2","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$ACC","N"
"19749","1017057|355502|554244","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","China (excludes SARs and Taiwan)","1","Engineering","STD","Y","2020","Start Year Intake","2019","Mid Year Intake","MCW","Y","$DEF","Y"
"19775","1017064|355506|554249","Temporary Entry Permit","No","Online Application","Masters CW","","","Mexico","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","Y"
"19783","976555|355518|554266","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$RES","Y"
"19811","960891|355521|554270","Temporary Entry Permit","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","Y"
