Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,step,Num of Occurrences per step(descending),Average time spends per step(descending)
1,1,0 days 0 hours 0 minutes 0 seconds,0.0 days 0.0 hours 0.0 minutes 0.0 seconds,0.0%,{'Release Offer'},"[('Release Offer', 1)]","[('Release Offer', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]"
2,8,28 days 19 hours 41 minutes 19 seconds,3.0 days 1.0 hours 43.0 minutes 19.5 seconds,87.5%,"{'Defer', 'Decline', 'Accept', 'Release Offer'}","[('Release Offer', 8), ('Accept', 5), ('Defer', 2), ('Decline', 1)]","[('Release Offer', '28.0 days 19.0 hours 41.0 minutes 19.0 seconds')]"
3,2,64 days 21 hours 56 minutes 37 seconds,64.0 days 21.0 hours 56.0 minutes 37.5 seconds,100.0%,"{'Assessment Decision - Qualified', 'Manage Acceptance', 'Accept', 'Release Offer'}","[('Release Offer', 2), ('Accept', 2), ('Assessment Decision - Qualified', 1), ('Manage Acceptance', 1)]","[('Assessment Decision - Qualified', '126.0 days 20.0 hours 48.0 minutes 54.0 seconds'), ('Release Offer', '1.0 days 11.0 hours 32.0 minutes 10.0 seconds')]"
