Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,step,Num of Occurrences per step(descending),Average time spends per step(descending)
2,2,0 days 0 hours 2 minutes 48 seconds,0.0 days 0.0 hours 2.0 minutes 48.5 seconds,100.0%,"{'Assessment Outcome - Successful', 'Release Offer'}","[('Assessment Outcome - Successful', 2), ('Release Offer', 2)]","[('Assessment Outcome - Successful', '0.0 days 0.0 hours 2.0 minutes 48.0 seconds')]"
3,5,1 days 0 hours 45 minutes 25 seconds,0.0 days 0.0 hours 9.0 minutes 27.0 seconds,100.0%,"{'Assessment Decision - Qualified', 'Assessment Outcome - Successful', 'Create Offer', 'Release Offer'}","[('Assessment Outcome - Successful', 5), ('Release Offer', 5), ('Create Offer', 4), ('Assessment Decision - Qualified', 1)]","[('Create Offer', '1.0 days 6.0 hours 56.0 minutes 21.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 0.0 minutes 59.0 seconds')]"
4,1,0 days 0 hours 4 minutes 49 seconds,0.0 days 0.0 hours 4.0 minutes 49.0 seconds,100.0%,"{'Assessment Outcome - Successful', 'Create Offer', 'OC - Created - Other', 'Release Offer'}","[('Assessment Outcome - Successful', 1), ('Create Offer', 1), ('OC - Created - Other', 1), ('Release Offer', 1)]","[('OC - Created - Other', '0.0 days 0.0 hours 3.0 minutes 28.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 1.0 minutes 7.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds'), ('Release Offer', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]"
5,1,0 days 0 hours 6 minutes 40 seconds,0.0 days 0.0 hours 6.0 minutes 40.0 seconds,100.0%,"{'OC - Created - Other', 'Assessment Decision - No Decision', 'Create Offer', 'Assessment Outcome - Successful', 'Release Offer'}","[('Assessment Outcome - Successful', 1), ('Create Offer', 1), ('Assessment Decision - No Decision', 1), ('OC - Created - Other', 1), ('Release Offer', 1)]","[('OC - Created - Other', '0.0 days 0.0 hours 4.0 minutes 22.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 1.0 minutes 36.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 0.0 minutes 36.0 seconds'), ('Release Offer', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]"
9,2,0 days 10 hours 24 minutes 31 seconds,0.0 days 10.0 hours 24.0 minutes 31.5 seconds,100.0%,"{'Assessment Decision - Qualified', 'OC - Created - Other', 'Restart Offer Workflow', 'Release Offer', 'Assessment Outcome - Not Successful', 'Unsuccessful', 'Create Offer', 'Assessment Decision - No Decision', 'Put Assessment On-Hold', 'Assessment Outcome - Successful', 'Release Assessment Hold'}","[('Assessment Outcome - Successful', 3), ('Assessment Decision - Qualified', 3), ('Create Offer', 2), ('OC - Created - Other', 2), ('Release Offer', 2), ('Put Assessment On-Hold', 1), ('Release Assessment Hold', 1), ('Assessment Outcome - Not Successful', 1), ('Unsuccessful', 1), ('Assessment Decision - No Decision', 1), ('Restart Offer Workflow', 1)]","[('Put Assessment On-Hold', '0.0 days 20.0 hours 13.0 minutes 20.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 4.0 minutes 9.0 seconds'), ('Unsuccessful', '0.0 days 0.0 hours 4.0 minutes 21.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 3.0 minutes 23.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 1.0 minutes 7.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 1.0 minutes 59.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 1.0 minutes 52.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 1.0 minutes 17.0 seconds'), ('Assessment Outcome - Not Successful', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('Restart Offer Workflow', '0.0 days 0.0 hours 0.0 minutes 53.0 seconds')]"
