"","CASE_ID","STU_CITIZEN_NM","STU_ABOR_TSI_NM","SUBMISSION_METHOD","ENTRY_TYPE","ASSESSMENT_DECISION_NM","ASSESSMENT_OUTCOME_NM","LAST_COUNTRY_EDUCATION","PREFERENCE_NO","AVAIL_ORG_UNIT_NM","STUDY_MODE_CD","RETURNING_DEFERRAL","CURR_AVAIL_YR","CURR_STUDY_PERIOD","ORIG_AVAIL_YR","ORIG_STUDY_PERIOD","SPK_CAT_TYPE_CD","OFFER_RELEASED_FG","OFFER_OUTCOME_CD","OFFER_CONDITIONS"
"1","502030|95557|149167","Australian","No","Online Application","","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2017","Start Year Intake","MCW","Y","$ACC","N"
"17","846123|104356|320614","Permanent Resident (excl Humanitarian)","No","Online Application","","Qualified","Successful","Nigeria","3","Engineering","STD","Y","2019","Start Year Intake","2017","Start Year Intake","MCW","Y","$DEF","N"
"56","940176|243843|388437","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","","N"
"63","758639|264769|421918","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2020","Start Year Intake","2018","Start Year Intake","MCW","Y","$DEF","N"
"81","958145|268178|427378","Australian","No","Online Application","","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","$DEF","Y"
"100","961605|274057|436445","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Taiwan","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"112","982703|311743|493733","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","GC","Y","$ACC","Y"
"147","760284|315130|499078","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"155","797494|322118|509193","New Zealander","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"162","991060|323417|511079","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Assessed","Higher Preference Successful","Sri Lanka","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"169","1001829|336678|526826","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"177","1001829|336678|526827","Australian","No","Online Application","","Not Assessed","Ineligible / Withdrawn","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"182","1001877|336757|526956","Australian","No","Online Application","Masters CW","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","","N"
"198","1002271|337186|527523","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEC","N"
"225","768023|340351|531837","Permanent Resident (excl Humanitarian)","No","Online Application","Masters CW","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"246","940851|342975|535815","New Zealander","No","Online Application","","Not Assessed","Higher Preference Successful","New Zealand","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"252","198925654|344914|538662","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"259","1008291|344923|538678","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Colombia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","N"
"271","1008912|345660|539767","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","United Arab Emirates","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"283","1007394|346044|540306","Permanent Resident (excl Humanitarian)","No","Online Application","Masters CW","Qualified","Successful","United Kingdom","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"297","699576|346300|540715","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"303","1009714|346606|541152","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Assessed","Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"310","982801|348906|544484","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$ACC","Y"
"336","759903|350829|547396","New Zealander","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"343","1013506|351321|548117","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"355","1013450|352066|549290","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Ineligible / Withdrawn","India","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","","N"
"363","1016250|354448|552701","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"385","1017434|355950|554924","Permanent Resident (excl Humanitarian)","No","Online Application","Masters CW","Not Assessed","Higher Preference Successful","Pakistan","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"390","1017482|356016|555093","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","Y"
"399","1017482|356016|555094","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"405","1018151|356878|556384","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"414","1016268|357215|556868","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","United States of America","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"422","1018455|358984|559535","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","","","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"431","370421|359353|560158","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Assessed","Not Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"439","1020344|359531|560454","Permanent Resident (excl Humanitarian)","No","Online Application","","","","","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"440","1020768|360055|561313","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","N"
"465","1020768|360055|561314","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"475","1019820|360156|561476","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","","N"
"499","954468|360490|561961","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","Y"
"513","612327|360602|562142","New Zealander","Not Answered","Online Application","","","","New Zealand","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"520","1021592|361220|563122","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","Y"
"528","1021829|361369|563371","Australian","No","Online Application","Others","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"540","930987|361786|564008","Permanent Humanitarian Visa","No","Online Application","","Not Assessed","Ineligible / Withdrawn","Australia","2","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"550","930987|361786|564009","Permanent Humanitarian Visa","No","Online Application","","Not Assessed","Ineligible / Withdrawn","Australia","3","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"560","1022348|362011|564389","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","N"
"574","1022190|362029|564420","Australian","No","Online Application","","No Decision","Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","Y"
"596","833200|362700|565447","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"606","1023330|363366|566519","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Philippines","1","Engineering","STD","Y","2020","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","N"
"620","1023596|363705|567084","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","United States of America","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"633","1024187|364497|568368","Australian","No","Online Application","","","","","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"638","1024574|365025|569210","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Qualified","Not Successful","United Kingdom","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"646","930987|361786|569417","Permanent Humanitarian Visa","No","Online Application","Masters CW","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","","Y"
"661","1024687|365211|569530","Australian","No","Online Application","","","","United Kingdom","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","","N"
"664","1025305|366531|571922","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Mid Year Intake","MCW","Y","$DEC","Y"
"690","1025815|366554|572153","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Mid Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","N"
"726","1025877|366872|572466","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","","N"
"733","798751|366951|572596","Australian","No","Online Application","","","","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"743","1026141|367010|572680","Australian","No","Online Application","","No Decision","Ineligible / Withdrawn","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"746","1021374|367597|573577","New Zealander","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","New Zealand","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"767","697910|367618|573610","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"781","697910|367618|573611","Australian","No","Online Application","","Not Assessed","Not Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"788","1026606|367690|573742","Australian","No","Online Application","","No Decision","No Outcome Set","United Kingdom","1","Engineering","GOM","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"802","756523|368113|574369","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"807","756523|368113|574370","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"812","830859|368383|574849","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"823","1027561|368902|575598","Permanent Resident (excl Humanitarian)","No","Online Application","","","","","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"824","646614|368974|575718","Permanent Resident (excl Humanitarian)","Not Answered","Online Application","","Qualified","Successful","United States of America","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"837","1027704|369135|575961","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","N"
"868","584916|369205|576080","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"875","1028266|369880|577147","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","Y"
"898","1028321|369941|577244","Permanent Resident (excl Humanitarian)","No","Online Application","Masters CW","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"915","1028582|370276|577743","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","Y"
"934","388114|371150|578861","Australian","No","Online Application","","","","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"940","388114|371150|578862","Australian","No","Online Application","","","","Australia","4","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"946","1029328|371595|579504","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","","","Bangladesh","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","Y"
"950","1029502|371827|579839","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","Y"
"967","1029607|371968|580045","Australian","No","Online Application","","","","","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"968","757749|372240|580444","New Zealander","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"979","521428|372279|580507","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"987","1021374|372858|581409","New Zealander","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","New Zealand","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"1002","1030385|372914|581495","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","Y"
"1024","832010|373310|582106","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"1031","636640|374250|583595","Australian","No","Online Application","","Qualified","No Outcome Set","Australia","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
