Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,step,Num of Occurrences per step(descending),Average time spends per step(descending)
1,5,0 days 0 hours 0 minutes 0 seconds,0.0 days 0.0 hours 0.0 minutes 0.0 seconds,0.0%,{'Release Offer'},"[('Release Offer', 5)]",[]
2,11,38 days 21 hours 3 minutes 31 seconds,6.0 days 1.0 hours 6.0 minutes 31.0 seconds,45.45%,"{'Release Offer', 'OC - Requested - Other', 'Accept', 'Defer'}","[('Release Offer', 11), ('Accept', 9), ('Defer', 1), ('OC - Requested - Other', 1)]","[('Release Offer', '38.0 days 21.0 hours 3.0 minutes 31.0 seconds')]"
3,5,59 days 8 hours 46 minutes 57 seconds,11.0 days 20.0 hours 34.0 minutes 22.0 seconds,26.67%,"{'Release Offer', 'OC - Satisfied - Other', 'Manage Acceptance', 'AR - Satisfied - further information', 'Accept', 'AR - Reviewed - syllabus'}","[('Release Offer', 5), ('Accept', 4), ('Manage Acceptance', 2), ('OC - Satisfied - Other', 2), ('AR - Satisfied - further information', 1), ('AR - Reviewed - syllabus', 1)]","[('Release Offer', '51.0 days 2.0 hours 5.0 minutes 37.0 seconds'), ('AR - Satisfied - further information', '5.0 days 1.0 hours 5.0 minutes 55.0 seconds'), ('OC - Satisfied - Other', '18.0 days 4.0 hours 10.0 minutes 21.0 seconds')]"
4,2,34 days 22 hours 37 minutes 23 seconds,34.0 days 22.0 hours 37.0 minutes 23.5 seconds,25.0%,"{'Release Offer', 'Manage Acceptance', 'Accept', 'Assessment Decision - No Decision', 'Assessment Decision - Qualified'}","[('Release Offer', 2), ('Accept', 2), ('Assessment Decision - Qualified', 2), ('Assessment Decision - No Decision', 1), ('Manage Acceptance', 1)]","[('Release Offer', '18.0 days 1.0 hours 17.0 minutes 26.0 seconds'), ('Assessment Decision - Qualified', '15.0 days 21.0 hours 27.0 minutes 15.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 23.0 hours 43.0 minutes 27.0 seconds')]"
