Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,step,Num of Occurrences per step(descending),Average time spends per step(descending)
2,19,0 days 0 hours 5 minutes 32 seconds,0.0 days 0.0 hours 1.0 minutes 42.0 seconds,94.74%,"{'Assessment Decision - No Decision', 'Release Offer', 'Assessment Outcome - Successful'}","[('Assessment Outcome - Successful', 19), ('Release Offer', 18), ('Assessment Decision - No Decision', 1)]","[('Assessment Outcome - Successful', '0.0 days 0.0 hours 5.0 minutes 32.0 seconds')]"
3,30,0 days 7 hours 17 minutes 0 seconds,0.0 days 0.0 hours 2.0 minutes 48.0 seconds,100.0%,"{'Create Offer', 'Assessment Outcome - Successful', 'OC - Created - Other', 'Release Offer', 'AR - Satisfied - previous or current study'}","[('Assessment Outcome - Successful', 30), ('Release Offer', 30), ('Create Offer', 23), ('OC - Created - Other', 6), ('AR - Satisfied - previous or current study', 1)]","[('AR - Satisfied - previous or current study', '3.0 days 22.0 hours 55.0 minutes 23.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 4.0 hours 3.0 minutes 35.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 4.0 minutes 20.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 1.0 minutes 14.0 seconds')]"
4,14,0 days 18 hours 51 minutes 11 seconds,0.0 days 0.0 hours 7.0 minutes 14.0 seconds,92.86%,"{'Create Offer', 'Assessment Outcome - Successful', 'Assessment Decision - Qualified', 'OC - Created - Other', 'AR - Satisfied - advanced standing', 'Release Offer', 'Assessment Decision - No Decision', 'AR - Satisfied - further information'}","[('Assessment Outcome - Successful', 14), ('Create Offer', 13), ('Release Offer', 13), ('OC - Created - Other', 9), ('Assessment Decision - Qualified', 4), ('Assessment Decision - No Decision', 1), ('AR - Satisfied - further information', 1), ('AR - Satisfied - advanced standing', 1)]","[('Assessment Decision - No Decision', '2.0 days 21.0 hours 25.0 minutes 27.0 seconds'), ('Assessment Decision - Qualified', '1.0 days 23.0 hours 51.0 minutes 22.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 8.0 minutes 54.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 6.0 minutes 38.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 42.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds')]"
5,7,0 days 0 hours 49 minutes 8 seconds,0.0 days 0.0 hours 8.0 minutes 22.0 seconds,100.0%,"{'Create Offer', 'Assessment Outcome - Successful', 'Assessment Decision - Qualified', 'OC - Created - Other', 'Release Offer', 'Assessment Decision - No Decision'}","[('OC - Created - Other', 8), ('Assessment Outcome - Successful', 7), ('Create Offer', 7), ('Release Offer', 7), ('Assessment Decision - Qualified', 4), ('Assessment Decision - No Decision', 2)]","[('Assessment Decision - No Decision', '0.0 days 1.0 hours 51.0 minutes 27.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 6.0 minutes 10.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 3.0 minutes 36.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 11.0 minutes 37.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds')]"
6,3,0 days 0 hours 9 minutes 19 seconds,0.0 days 0.0 hours 11.0 minutes 15.0 seconds,100.0%,"{'Create Offer', 'Assessment Outcome - Successful', 'Assessment Decision - Qualified', 'OC - Created - Other', 'Release Offer', 'Send for Assessment'}","[('OC - Created - Other', 5), ('Assessment Outcome - Successful', 3), ('Create Offer', 3), ('Assessment Decision - Qualified', 3), ('Release Offer', 3), ('Send for Assessment', 1)]","[('Assessment Decision - Qualified', '0.0 days 0.0 hours 3.0 minutes 42.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 2.0 minutes 19.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 1.0 minutes 8.0 seconds'), ('Send for Assessment', '0.0 days 0.0 hours 1.0 minutes 45.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds')]"
