,processtime3
612077,0 days 00:12:39
614655,0 days 00:02:53
614656,0 days 01:03:02
614657,0 days 00:12:47
614658,0 days 00:00:35
614686,0 days 00:01:41
615629,0 days 00:01:32
615633,0 days 00:01:27
620272,0 days 03:16:09
620276,7 days 17:07:02
620280,0 days 00:02:36
627022,11 days 21:58:22
628730,0 days 00:03:04
630099,6 days 02:47:08
630670,27 days 02:54:52
634021,0 days 00:00:16
649021,0 days 00:02:33
649022,0 days 00:00:17
650267,0 days 00:03:40
651079,0 days 00:07:24
651080,0 days 00:02:48
653119,16 days 09:34:18
653120,9 days 22:38:38
653122,0 days 00:01:40
653626,0 days 00:00:00
653627,49 days 23:42:20
653629,0 days 11:07:25
664854,0 days 00:00:23
666363,0 days 05:47:46
666364,0 days 00:01:37
667780,0 days 00:27:02
667812,0 days 00:00:52
672756,0 days 00:00:16
674662,16 days 20:54:26
674663,0 days 00:00:48
675867,4 days 20:51:16
675869,0 days 00:00:24
676718,10 days 21:34:16
689556,0 days 00:00:43
689562,3 days 11:48:41
689563,0 days 22:25:37
693256,0 days 00:02:48
693257,0 days 00:00:36
693265,0 days 00:01:13
695329,9 days 00:29:07
700180,0 days 21:25:09
700181,16 days 00:55:42
701963,0 days 00:05:19
715473,2 days 03:11:39
719263,35 days 20:10:10
719269,0 days 00:01:05
719974,1 days 06:13:37
725705,0 days 00:00:38
728667,0
734618,0 days 00:06:28
734619,0 days 00:00:45
734622,0 days 00:08:41
741448,0 days 00:18:38
741451,0 days 00:00:27
741619,148 days 21:55:39
741624,0 days 00:00:48
741629,3 days 18:33:21
741644,3 days 18:31:28
743910,3 days 00:00:38
743914,0 days 05:20:51
743917,0 days 00:00:37
743933,0 days 00:00:14
744099,0 days 00:00:14
757776,7 days 04:27:28
757786,0 days 00:00:35
758785,0 days 00:01:14
759881,0 days 00:29:04
761790,6 days 20:57:00
774394,5 days 04:23:23
774397,0 days 00:00:19
779015,0 days 00:05:11
779299,0 days 00:06:40
784442,0 days 00:01:38
784790,14 days 07:04:30
784791,0 days 00:01:32
784800,16 days 22:20:12
786053,0 days 00:00:16
800792,17 days 18:12:32
801603,22 days 09:32:33
801604,0 days 00:00:48
801605,0 days 00:01:34
801610,2 days 11:40:36
801611,6 days 00:35:34
801612,3 days 17:20:45
801616,0 days 00:00:12
801617,0 days 00:07:25
801628,0 days 00:03:22
807385,0 days 19:12:39
808498,2 days 11:25:24
808501,0 days 00:00:07
813857,5 days 22:08:28
813858,0 days 00:02:27
814711,0 days 00:02:02
817894,12 days 21:49:21
818267,3 days 04:34:42
818268,1 days 17:51:17
818269,0 days 00:08:40
818270,0 days 00:00:52
819596,0 days 00:00:32
823027,1 days 02:03:41
823028,0 days 00:03:14
823465,0 days 00:01:26
823812,11 days 21:43:52
823813,0 days 01:06:43
825013,0 days 00:00:11
826933,0 days 00:19:41
826936,0 days 00:00:17
829954,0 days 00:00:07
829969,0 days 00:00:35
829970,4 days 16:42:35
834670,33 days 10:11:09
834676,11 days 01:42:25
836623,1 days 03:16:19
836624,0 days 00:02:24
839949,0 days 00:01:32
841641,0 days 00:13:15
841643,1 days 00:18:48
842747,0 days 00:04:08
843076,0 days 00:00:47
849089,0 days 00:03:59
849090,0 days 00:07:25
849091,0 days 00:00:24
849094,0 days 02:47:52
849097,0 days 00:00:28
849736,0 days 02:13:14
854050,1 days 00:28:31
862542,1 days 03:06:21
862544,0 days 19:32:58
862547,3 days 03:06:45
862548,0 days 00:03:44
863362,0 days 00:00:57
863369,0 days 00:00:08
863705,0 days 01:36:16
863706,0 days 00:01:41
865694,10 days 22:09:34
865696,0 days 00:01:27
871610,0 days 00:09:23
872322,0 days 00:00:16
878662,0 days 23:53:19
879810,10 days 08:49:27
889100,0 days 00:00:25
899409,0 days 00:04:05
899410,0 days 00:01:00
905173,0 days 00:00:35
915977,0 days 00:01:47
921366,0 days 00:00:19
925315,13 days 01:46:18
926170,0 days 00:00:37
927087,0 days 00:02:55
927100,0 days 00:00:27
927817,7 days 02:42:56
936667,0 days 00:01:28
944894,0
946018,24 days 03:08:12
946019,0 days 00:00:41
962245,33 days 09:03:48
962254,0 days 00:00:29
962925,0 days 00:02:29
968932,36 days 00:33:55
979676,14 days 23:41:30
979680,0 days 00:00:33
979681,0 days 00:02:01
983153,1 days 23:58:08
983154,0 days 00:03:26
986189,0 days 00:00:20
988786,1 days 11:32:10
999714,0 days 00:00:53
1011368,0 days 00:00:18
1021916,0
1021921,20 days 22:40:25
1021922,0 days 00:30:31
1026795,0 days 00:20:29
1032116,14 days 23:54:47
1077747,0 days 00:02:20
1077748,0 days 00:00:45
1077749,0 days 00:00:23
1145690,0 days 00:44:55
1155170,0 days 00:01:02
1157216,6 days 00:54:20
1157221,0 days 00:01:45
1160804,0 days 02:58:19
1166175,0 days 00:01:16
1172153,0 days 00:00:44
1172533,6 days 22:42:29
1172534,18 days 01:17:19
1179820,0 days 01:56:01
1191936,0 days 00:00:16
1194944,9 days 01:51:43
1194945,1 days 21:07:01
1211116,8 days 20:50:55
1224247,0 days 00:00:39
1228954,0 days 00:00:42
1233372,22 days 00:25:05
1245827,0 days 00:00:18
1245828,0 days 00:00:26
1245829,0 days 00:00:19
1252302,0 days 00:00:19
1260502,0 days 00:01:33
1267381,3 days 00:32:24
1274282,3 days 21:58:37
1282852,2 days 00:58:47
1290663,2 days 23:41:47
1290665,0 days 00:00:11
1290863,0 days 00:01:08
1298297,0 days 00:02:41
1298298,0 days 19:27:55
1299219,0 days 00:00:14
1302048,0 days 00:00:13
1303032,0 days 00:01:59
1304044,0 days 00:05:53
1304047,0 days 00:00:58
1304507,0 days 00:00:27
1316910,0 days 01:43:32
1319339,0 days 00:04:33
1324206,2 days 00:01:31
1326229,0 days 00:03:28
1327254,4 days 22:04:39
1327449,0 days 00:01:20
1332980,0 days 00:00:07
1334052,0 days 00:20:08
1340552,0 days 00:15:33
1346691,1 days 01:35:26
1351516,0 days 00:00:00
1351787,0 days 00:00:22
1352386,0 days 00:00:59
1365805,0 days 00:00:18
