"","CASE_ID","STU_CITIZEN_NM","STU_ABOR_TSI_NM","SUBMISSION_METHOD","ENTRY_TYPE","ASSESSMENT_DECISION_NM","ASSESSMENT_OUTCOME_NM","LAST_COUNTRY_EDUCATION","PREFERENCE_NO","AVAIL_ORG_UNIT_NM","STUDY_MODE_CD","RETURNING_DEFERRAL","CURR_AVAIL_YR","CURR_STUDY_PERIOD","ORIG_AVAIL_YR","ORIG_STUDY_PERIOD","SPK_CAT_TYPE_CD","OFFER_RELEASED_FG","OFFER_OUTCOME_CD","OFFER_CONDITIONS"
"1","646035|228799|364549","Permanent Humanitarian Visa","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Pakistan","1","Engineering","STD","Y","2019","Start Year Intake","2017","Mid Year Intake","MCW","Y","$DEF","N"
"20","935028|237355|377891","Australian","No","Online Application","","","","Australia","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"24","927815|252562|402189","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Assessed","Higher Preference Successful","Malaysia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"30","948712|255338|406632","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Pakistan","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","N"
"52","198520171|266984|425445","Australian","No","Online Application","Masters CW","No Decision","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","$ACC","Y"
"90","961378|273687|435885","Permanent Humanitarian Visa","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"97","961378|273687|435887","Permanent Humanitarian Visa","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","4","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"104","752740|284885|452000","Permanent Resident (excl Humanitarian)","No","Online Application","","","","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"108","969392|287231|455658","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"118","641179|289726|458951","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","$ACC","Y"
"148","695047|290137|459616","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","N"
"175","639399|300764|476731","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","$DEC","N"
"192","761104|300968|477011","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","Not Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"202","637200|302631|479651","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","$DEF","N"
"213","977556|303397|480810","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","India","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","","N"
"225","757584|304486|482484","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","$ACC","Y"
"251","757690|307753|486957","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","$DEF","N"
"265","57764|310849|492438","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","N"
"289","57764|310849|492439","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"297","57764|310849|492440","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","3","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"305","982546|311510|493384","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Start Year Intake","MCW","Y","$DEF","N"
"322","982849|312091|494319","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"332","757408|312234|494542","Australian","No","Online Application","","","","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"337","757408|312234|494543","Australian","No","Online Application","","","","Australia","4","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"342","983177|312695|495237","Permanent Resident (excl Humanitarian)","No","Online Application","Masters CW","","","India","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","Y"
"350","982473|312954|495667","Permanent Resident (excl Humanitarian)","No","External Agency Application Load","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Korea, Republic of (South)","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","Y"
"373","694968|313949|497320","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Mid Year Intake","2018","Start Year Intake","MCW","Y","$DEF","N"
"389","694968|313949|497321","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"399","694968|313957|497331","Australian","No","Online Application","","Not Assessed","Ineligible / Withdrawn","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"407","760284|315130|499077","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Mid Year Intake","2019","Start Year Intake","MCW","Y","$DEF","Y"
"424","985587|316537|501097","New Zealander","No","Online Application","","Not Assessed","Higher Preference Successful","New Zealand","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"434","988751|321307|508108","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Qualified","Not Successful","Pakistan","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"442","988751|321307|508110","Permanent Resident (excl Humanitarian)","No","Online Application","","Not Qualified","Not Successful","Pakistan","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"450","982849|322114|509185","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","","","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"457","797494|322118|509192","New Zealander","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","Y"
"483","684192|313975|510695","Australian","No","Online Application","","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$RES","Y"
"495","991060|323417|511078","Permanent Resident (excl Humanitarian)","No","Online Application","","Qualified","Successful","Sri Lanka","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"506","990545|323544|511318","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$ACC","Y"
"529","991737|324630|512656","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"552","991526|335143|524587","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","N"
"573","1000870|335395|524947","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEC","Y"
"588","643801|338172|528935","New Zealander","No","Online Application","Masters CW","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","","N"
"598","831432|340167|531545","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","Y"
"613","1006755|342978|535822","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Pakistan","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$ACC","N"
"646","1006769|342989|535836","New Zealander","No","Online Application","","","","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"652","1006769|342989|535837","New Zealander","No","Online Application","","","","Australia","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"658","972238|343150|536053","Permanent Resident (excl Humanitarian)","No","Online Application","Masters CW","No Decision","Ineligible / Withdrawn","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","Y"
"678","1007256|343528|536590","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"715","1006581|343740|536884","Australian","No","Online Application","Masters CW","Not Qualified","Not Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"727","1006581|343740|536885","Australian","No","Online Application","","Qualified","Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"751","1009525|346381|540835","Australian","No","Online Application","","","","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"758","1008248|347084|541860","New Zealander","No","Online Application","Bachelor (equiv Aust 3yr deg)","No Decision","Successful","New Zealand","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","Y","","Y"
"774","1011094|348344|543707","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Bangladesh","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","Y"
"793","1012807|350393|546699","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Bangladesh","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","$DEF","Y"
"826","759903|350829|547395","New Zealander","No","Online Application","","Not Assessed","Higher Preference Successful","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"833","1015387|353470|551267","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Assessed","Higher Preference Successful","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"841","1015387|353470|551268","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Assessed","Higher Preference Successful","Australia","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"849","1015667|353906|551932","Australian","No","Online Application","","","","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"855","1016140|354343|552549","New Zealander","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","United States of America","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","N"
"875","1016155|354347|552553","Permanent Resident (excl Humanitarian)","No","Online Application","Bachelor (equiv Aust 3yr deg)","","","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","Y"
"881","1016847|355215|553813","Australian","No","Online Application","","Not Assessed","Higher Preference Successful","Turkey","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"889","812227|355343|554012","Australian","No","Online Application","","Not Qualified","Not Successful","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"903","1008248|355411|554116","New Zealander","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","New Zealand","1","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","Y","$DEF","Y"
"918","756919|355840|554750","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$ACC","Y"
"933","880094|357166|556805","Australian","No","Online Application","Grad Dip/Postgrad Dip","No Decision","Successful","Australia","1","Engineering","STD","Y","2019","Start Year Intake","2018","Mid Year Intake","MCW","Y","","Y"
"964","1018413|357167|556808","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","3","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"975","1018413|357167|556809","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","4","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"986","766486|357227|556884","New Zealander","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","",""
"993","766486|357227|556885","New Zealander","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Qualified","Not Successful","Australia","3","Engineering","STD","N","2019","Mid Year Intake","2019","Mid Year Intake","MCW","","",""
"1000","1019137|357967|557995","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Not Assessed","Not Successful","Australia","2","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","","","N"
"1008","640056|358140|558216","Australian","No","Online Application","Bachelor (equiv Aust 3yr deg)","Qualified","Successful","Australia","1","Engineering","STD","N","2019","Start Year Intake","2019","Start Year Intake","MCW","Y","$DEF","N"
