Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,step,Num of Occurrences per step(descending),Average time spends per step(descending)
2,3,0 days 0 hours 6 minutes 12 seconds,0.0 days 0.0 hours 6.0 minutes 48.0 seconds,100.0%,"{'Release Offer', 'Assessment Outcome - Successful'}","[('Assessment Outcome - Successful', 3), ('Release Offer', 3)]","[('Assessment Outcome - Successful', '0.0 days 0.0 hours 6.0 minutes 12.0 seconds')]"
3,14,0 days 3 hours 28 minutes 46 seconds,0.0 days 0.0 hours 3.0 minutes 36.0 seconds,100.0%,"{'Release Offer', 'OC - Created - Other', 'Assessment Decision - Qualified', 'Create Offer', 'Assessment Outcome - Successful'}","[('Assessment Outcome - Successful', 14), ('Release Offer', 14), ('Create Offer', 11), ('OC - Created - Other', 2), ('Assessment Decision - Qualified', 1)]","[('Create Offer', '0.0 days 4.0 hours 24.0 minutes 47.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 4.0 minutes 52.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 0.0 minutes 48.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds')]"
4,3,0 days 0 hours 4 minutes 37 seconds,0.0 days 0.0 hours 4.0 minutes 4.0 seconds,100.0%,"{'Release Offer', 'OC - Created - Other', 'Assessment Decision - No Decision', 'Assessment Decision - Qualified', 'Create Offer', 'Assessment Outcome - Successful'}","[('Assessment Outcome - Successful', 3), ('Create Offer', 3), ('Release Offer', 3), ('OC - Created - Other', 1), ('Assessment Decision - Qualified', 1), ('Assessment Decision - No Decision', 1)]","[('Assessment Decision - No Decision', '0.0 days 0.0 hours 3.0 minutes 36.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 2.0 minutes 39.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 0.0 minutes 59.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 0.0 minutes 43.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds')]"
5,3,0 days 0 hours 6 minutes 59 seconds,0.0 days 0.0 hours 7.0 minutes 28.0 seconds,100.0%,"{'Release Offer', 'OC - Created - Other', 'Assessment Decision - Qualified', 'Create Offer', 'Assessment Outcome - Successful'}","[('OC - Created - Other', 5), ('Assessment Outcome - Successful', 3), ('Create Offer', 3), ('Release Offer', 3), ('Assessment Decision - Qualified', 1)]","[('Assessment Decision - Qualified', '0.0 days 0.0 hours 7.0 minutes 21.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 1.0 minutes 6.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 1.0 minutes 3.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds')]"
