Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,Num of Occurrences per step(descending),Average time spends per step(descending),average time for workflow segment(seconds),sum time for workflow segment(seconds)
1,1664,0 days 0 hours 0 minutes 0 seconds,0.0 days 0.0 hours 0.0 minutes 0.0 seconds,0.0%,"[('Release Offer', 1664)]",[],0,0.0
2,2114,63 days 16 hours 41 minutes 22 seconds,33.0 days 5.0 hours 25.0 minutes 43.0 seconds,73.08%,"[('Release Offer', 2117), ('Defer', 815), ('Accept', 730), ('OC - Satisfied - Other', 217), ('OC - Created - Other', 90), ('Decline', 59)]","[('Release Offer', '63.0 days 14.0 hours 31.0 minutes 23.0 seconds')]",5503282,11633938934.0
3,1078,74 days 4 hours 42 minutes 6 seconds,47.0 days 1.0 hours 43.0 minutes 8.0 seconds,75.6%,"[('Release Offer', 1082), ('Accept', 598), ('OC - Satisfied - Other', 347), ('Manage Acceptance', 264), ('Defer', 217), ('AR - Satisfied - Other', 126)]","[('Assessment Decision - No Decision', '9.0 days 21.0 hours 10.0 minutes 38.0 seconds'), ('AR - Satisfied - ELR', '9.0 days 18.0 hours 15.0 minutes 46.0 seconds'), ('Release Assessment Hold', '7.0 days 5.0 hours 5.0 minutes 43.0 seconds'), ('OC - Created - Other', '65.0 days 22.0 hours 9.0 minutes 39.0 seconds'), ('OC - Awaiting External Response - Other', '54.0 days 7.0 hours 39.0 minutes 5.0 seconds'), ('Assessment Decision - Qualified', '50.0 days 20.0 hours 27.0 minutes 4.0 seconds'), ('OC - Requested - Other', '5.0 days 20.0 hours 13.0 minutes 39.0 seconds'), ('Release Offer', '48.0 days 12.0 hours 25.0 minutes 13.0 seconds'), ('AR - Satisfied - previous or current study', '46.0 days 21.0 hours 45.0 minutes 1.0 seconds'), ('AR - Satisfied - agent', '45.0 days 8.0 hours 51.0 minutes 43.0 seconds'), ('OC - Reviewed - Other', '4.0 days 0.0 hours 15.0 minutes 39.0 seconds'), ('AR - Created - applicant demographics', '39.0 days 7.0 hours 5.0 minutes 34.0 seconds'), ('AR - Satisfied - syllabus', '39.0 days 23.0 hours 39.0 minutes 40.0 seconds'), ('AR - Satisfied - advanced standing', '36.0 days 2.0 hours 29.0 minutes 7.0 seconds'), ('AR - Satisfied - work experience', '30.0 days 1.0 hours 9.0 minutes 44.0 seconds'), ('End My Assessment', '29.0 days 4.0 hours 56.0 minutes 24.0 seconds'), ('AR - Satisfied - further information', '24.0 days 21.0 hours 7.0 minutes 5.0 seconds'), ('OC - Satisfied - Other', '20.0 days 16.0 hours 12.0 minutes 57.0 seconds'), ('Put Assessment On-Hold', '195.0 days 11.0 hours 43.0 minutes 11.0 seconds'), ('AR - Created - Other', '18.0 days 8.0 hours 29.0 minutes 1.0 seconds'), ('AR - Not Satisfied - ELR', '16.0 days 20.0 hours 31.0 minutes 13.0 seconds'), ('Send for Assessment', '145.0 days 0.0 hours 16.0 minutes 32.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '12.0 days 21.0 hours 33.0 minutes 30.0 seconds'), ('Withdraw', '1.0 days 9.0 hours 34.0 minutes 7.0 seconds'), ('AR - Satisfied - Other', '1.0 days 6.0 hours 55.0 minutes 36.0 seconds'), ('AR - Satisfied - application details', '1.0 days 11.0 hours 46.0 minutes 7.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '0.0 days 6.0 hours 7.0 minutes 5.0 seconds'), ('PREPARE TO LOCK', '0.0 days 6.0 hours 56.0 minutes 55.0 seconds'), ('Decline', '0.0 days 21.0 hours 0.0 minutes 4.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 5.0 minutes 39.0 seconds'), ('OC - Not Satisfied - Other', '0.0 days 0.0 hours 4.0 minutes 36.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 0.0 minutes 23.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 0.0 minutes 19.0 seconds')]",6410526,6910547089.0
4,590,83 days 2 hours 36 minutes 36 seconds,64.0 days 1.0 hours 38.0 minutes 13.0 seconds,80.51%,"[('Release Offer', 592), ('Accept', 391), ('OC - Satisfied - Other', 375), ('AR - Satisfied - Other', 168), ('OC - Created - Other', 160), ('AR - Satisfied - previous or current study', 123)]","[('End My Assessment', '92.0 days 15.0 hours 40.0 minutes 45.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '8.0 days 7.0 hours 45.0 minutes 50.0 seconds'), ('OC - Awaiting External Response - Other', '7.0 days 4.0 hours 56.0 minutes 24.0 seconds'), ('AR - Satisfied - further information', '7.0 days 15.0 hours 11.0 minutes 47.0 seconds'), ('AR - Requested - agent', '60.0 days 17.0 hours 51.0 minutes 33.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '6.0 days 5.0 hours 38.0 minutes 6.0 seconds'), ('AR - Created - applicant demographics', '6.0 days 23.0 hours 49.0 minutes 47.0 seconds'), ('Put Assessment On-Hold', '54.0 days 9.0 hours 9.0 minutes 4.0 seconds'), ('Release Assessment Hold', '5.0 days 9.0 hours 55.0 minutes 36.0 seconds'), ('Release Offer', '45.0 days 5.0 hours 1.0 minutes 51.0 seconds'), ('AR - Satisfied - syllabus', '37.0 days 12.0 hours 10.0 minutes 33.0 seconds'), ('AR - Satisfied - agent', '35.0 days 6.0 hours 2.0 minutes 45.0 seconds'), ('OC - Created - Other', '32.0 days 23.0 hours 43.0 minutes 20.0 seconds'), ('AR - Satisfied - work experience', '30.0 days 5.0 hours 58.0 minutes 59.0 seconds'), ('Decline', '3.0 days 4.0 hours 4.0 minutes 52.0 seconds'), ('AR - Not Satisfied - ELR', '3.0 days 17.0 hours 45.0 minutes 21.0 seconds'), ('AR - Created - Other', '24.0 days 16.0 hours 14.0 minutes 55.0 seconds'), ('AR - Satisfied - Other', '2.0 days 5.0 hours 5.0 minutes 38.0 seconds'), ('AR - Satisfied - ELR', '18.0 days 12.0 hours 43.0 minutes 33.0 seconds'), ('AR - Satisfied - previous or current study', '18.0 days 0.0 hours 40.0 minutes 50.0 seconds'), ('AR - Satisfied - advanced standing', '17.0 days 5.0 hours 21.0 minutes 17.0 seconds'), ('OC - Reviewed - Other', '17.0 days 23.0 hours 25.0 minutes 22.0 seconds'), ('Assessment Decision - Qualified', '17.0 days 21.0 hours 53.0 minutes 7.0 seconds'), ('OC - Requested - Other', '15.0 days 23.0 hours 18.0 minutes 8.0 seconds'), ('OC - Satisfied - Other', '15.0 days 10.0 hours 15.0 minutes 38.0 seconds'), ('AR - Satisfied - applicant demographics', '13.0 days 18.0 hours 1.0 minutes 44.0 seconds'), ('AR - Satisfied - specialisation', '120.0 days 4.0 hours 35.0 minutes 20.0 seconds'), ('AR - Reviewed - syllabus', '120.0 days 0.0 hours 13.0 minutes 58.0 seconds'), ('AR - Reviewed - previous or current study', '12.0 days 1.0 hours 0.0 minutes 12.0 seconds'), ('Assessment Decision - No Decision', '11.0 days 2.0 hours 7.0 minutes 9.0 seconds'), ('Withdraw', '11.0 days 1.0 hours 6.0 minutes 31.0 seconds'), ('AR - Created - further information', '10.0 days 8.0 hours 29.0 minutes 41.0 seconds'), ('AR - Satisfied - application details', '0.0 days 3.0 hours 11.0 minutes 55.0 seconds'), ('AR - Reviewed - advanced standing', '0.0 days 0.0 hours 5.0 minutes 31.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 1.0 minutes 37.0 seconds'), ('OC - Not Satisfied - Other', '0.0 days 0.0 hours 1.0 minutes 34.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 1.0 minutes 28.0 seconds'), ('Restart Offer Workflow', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('Lapse', '0.0 days 0.0 hours 0.0 minutes 25.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds')]",7180596,4236552154.0
5,379,104 days 13 hours 15 minutes 22 seconds,86.0 days 16.0 hours 18.0 minutes 6.0 seconds,87.86%,"[('Release Offer', 381), ('OC - Satisfied - Other', 349), ('Accept', 288), ('AR - Satisfied - Other', 182), ('AR - Created - Other', 132), ('OC - Created - Other', 102)]","[('AR - Satisfied - ELR', '9.0 days 13.0 hours 34.0 minutes 14.0 seconds'), ('AR - Created - previous or current study', '8.0 days 12.0 hours 20.0 minutes 22.0 seconds'), ('AR - Satisfied - agent', '7.0 days 17.0 hours 15.0 minutes 23.0 seconds'), ('Put Assessment On-Hold', '64.0 days 9.0 hours 38.0 minutes 46.0 seconds'), ('Release Offer', '59.0 days 15.0 hours 26.0 minutes 3.0 seconds'), ('AR - Satisfied - misc', '5.0 days 1.0 hours 51.0 minutes 14.0 seconds'), ('Assessment Decision - Qualified', '48.0 days 20.0 hours 45.0 minutes 54.0 seconds'), ('AR - Satisfied - syllabus', '38.0 days 16.0 hours 25.0 minutes 32.0 seconds'), ('AR - Satisfied - work experience', '36.0 days 16.0 hours 26.0 minutes 33.0 seconds'), ('AR - Satisfied - Other', '3.0 days 7.0 hours 29.0 minutes 11.0 seconds'), ('AR - Satisfied - previous or current study', '29.0 days 8.0 hours 52.0 minutes 53.0 seconds'), ('Release Assessment Hold', '26.0 days 10.0 hours 56.0 minutes 24.0 seconds'), ('AR - Satisfied - applicant demographics', '22.0 days 2.0 hours 34.0 minutes 44.0 seconds'), ('Assessment Decision - No Decision', '21.0 days 0.0 hours 33.0 minutes 9.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '2.0 days 17.0 hours 41.0 minutes 28.0 seconds'), ('OC - Reviewed - Other', '2.0 days 16.0 hours 31.0 minutes 33.0 seconds'), ('AR - Satisfied - advanced standing', '17.0 days 20.0 hours 23.0 minutes 31.0 seconds'), ('OC - Created - Other', '15.0 days 20.0 hours 8.0 minutes 56.0 seconds'), ('AR - Satisfied - entry points', '15.0 days 17.0 hours 50.0 minutes 51.0 seconds'), ('OC - Requested - Other', '15.0 days 15.0 hours 48.0 minutes 1.0 seconds'), ('End My Assessment', '149.0 days 23.0 hours 14.0 minutes 30.0 seconds'), ('AR - Satisfied - application details', '14.0 days 8.0 hours 40.0 minutes 20.0 seconds'), ('AR - Satisfied - further information', '13.0 days 19.0 hours 15.0 minutes 46.0 seconds'), ('AR - Created - Other', '13.0 days 11.0 hours 29.0 minutes 9.0 seconds'), ('OC - Satisfied - Other', '11.0 days 9.0 hours 43.0 minutes 49.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '10.0 days 15.0 hours 38.0 minutes 47.0 seconds'), ('AR - Not Satisfied - ELR', '1.0 days 2.0 hours 53.0 minutes 53.0 seconds'), ('Decline', '1.0 days 0.0 hours 47.0 minutes 8.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 22.0 hours 32.0 minutes 35.0 seconds'), ('AR - Created - further information', '0.0 days 14.0 hours 39.0 minutes 4.0 seconds'), ('AR - Created - misc', '0.0 days 0.0 hours 5.0 minutes 55.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 3.0 minutes 38.0 seconds'), ('OC - Not Satisfied - Other', '0.0 days 0.0 hours 2.0 minutes 1.0 seconds'), ('Restart Offer Workflow', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Reviewed - ELR', '0.0 days 0.0 hours 0.0 minutes 50.0 seconds'), ('AR - Reviewed - agent', '0.0 days 0.0 hours 0.0 minutes 29.0 seconds'), ('Withdraw', '0.0 days 0.0 hours 0.0 minutes 27.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 26.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 0.0 minutes 21.0 seconds')]",9033322,3423629338.0
6,199,107 days 22 hours 50 minutes 0 seconds,89.0 days 17.0 hours 28.0 minutes 11.0 seconds,85.93%,"[('OC - Satisfied - Other', 222), ('Release Offer', 206), ('Accept', 146), ('AR - Satisfied - Other', 118), ('OC - Created - Other', 89), ('AR - Created - Other', 70)]","[('AR - Created - Other', '9.0 days 22.0 hours 49.0 minutes 24.0 seconds'), ('OC - Satisfied - Other', '9.0 days 20.0 hours 59.0 minutes 34.0 seconds'), ('Release Assessment Hold', '86.0 days 1.0 hours 15.0 minutes 54.0 seconds'), ('Assessment Decision - Qualified', '8.0 days 7.0 hours 33.0 minutes 40.0 seconds'), ('End My Assessment', '79.0 days 7.0 hours 45.0 minutes 49.0 seconds'), ('AR - Satisfied - work experience', '7.0 days 19.0 hours 46.0 minutes 50.0 seconds'), ('OC - Satisfied - further information', '65.0 days 2.0 hours 29.0 minutes 23.0 seconds'), ('AR - Satisfied - syllabus', '64.0 days 10.0 hours 45.0 minutes 34.0 seconds'), ('AR - Satisfied - misc', '6.0 days 2.0 hours 43.0 minutes 15.0 seconds'), ('Withdraw', '6.0 days 0.0 hours 59.0 minutes 46.0 seconds'), ('AR - Reviewed - further information', '54.0 days 17.0 hours 58.0 minutes 40.0 seconds'), ('Release Offer', '41.0 days 16.0 hours 39.0 minutes 11.0 seconds'), ('OC - Requested - Other', '4.0 days 2.0 hours 46.0 minutes 42.0 seconds'), ('AR - Satisfied - application details', '4.0 days 14.0 hours 56.0 minutes 31.0 seconds'), ('AR - Satisfied - agent', '4.0 days 13.0 hours 45.0 minutes 46.0 seconds'), ('AR - Created - misc', '4.0 days 12.0 hours 33.0 minutes 57.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '4.0 days 11.0 hours 17.0 minutes 2.0 seconds'), ('Assessment Decision - No Decision', '38.0 days 4.0 hours 39.0 minutes 47.0 seconds'), ('AR - Reviewed - work experience', '28.0 days 22.0 hours 13.0 minutes 59.0 seconds'), ('AR - Satisfied - previous or current study', '26.0 days 20.0 hours 8.0 minutes 7.0 seconds'), ('OC - Created - Other', '26.0 days 12.0 hours 19.0 minutes 32.0 seconds'), ('AR - Satisfied - further information', '24.0 days 8.0 hours 2.0 minutes 59.0 seconds'), ('AR - Satisfied - Other', '2.0 days 14.0 hours 0.0 minutes 5.0 seconds'), ('Assessment Decision - Not Qualified', '193.0 days 5.0 hours 28.0 minutes 46.0 seconds'), ('AR - Satisfied - advanced standing', '19.0 days 18.0 hours 22.0 minutes 9.0 seconds'), ('Decline', '15.0 days 5.0 hours 57.0 minutes 0.0 seconds'), ('AR - Satisfied - ELR', '13.0 days 19.0 hours 53.0 minutes 33.0 seconds'), ('Put Assessment On-Hold', '13.0 days 19.0 hours 28.0 minutes 0.0 seconds'), ('AR - Reviewed - ELR', '11.0 days 10.0 hours 50.0 minutes 28.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '0.0 days 22.0 hours 37.0 minutes 39.0 seconds'), ('AR - Created - further information', '0.0 days 19.0 hours 24.0 minutes 0.0 seconds'), ('OC - Reviewed - Other', '0.0 days 15.0 hours 51.0 minutes 10.0 seconds'), ('OC - Awaiting External Response - Other', '0.0 days 1.0 hours 27.0 minutes 21.0 seconds'), ('OC - Not Satisfied - Other', '0.0 days 0.0 hours 2.0 minutes 20.0 seconds'), ('AR - Reviewed - syllabus', '0.0 days 0.0 hours 1.0 minutes 3.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 1.0 minutes 21.0 seconds'), ('AR - Satisfied - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 33.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 29.0 seconds'), ('Restart Offer Workflow', '0.0 days 0.0 hours 0.0 minutes 27.0 seconds'), ('OC - Created - further information', '0.0 days 0.0 hours 0.0 minutes 24.0 seconds')]",9327000,1856073127.0
7,118,123 days 11 hours 58 minutes 47 seconds,108.0 days 2.0 hours 28.0 minutes 16.0 seconds,88.14%,"[('OC - Satisfied - Other', 141), ('Release Offer', 124), ('AR - Satisfied - Other', 97), ('Accept', 94), ('AR - Created - Other', 55), ('OC - Created - Other', 53)]","[('AR - Satisfied - financial (sponsorship, scholarship etc)', '8.0 days 3.0 hours 57.0 minutes 27.0 seconds'), ('OC - Satisfied - Other', '7.0 days 18.0 hours 16.0 minutes 28.0 seconds'), ('Assessment Decision - Not Qualified', '7.0 days 0.0 hours 46.0 minutes 12.0 seconds'), ('AR - Satisfied - agent', '6.0 days 16.0 hours 56.0 minutes 10.0 seconds'), ('AR - Reviewed - application details', '52.0 days 22.0 hours 51.0 minutes 17.0 seconds'), ('Assessment Decision - Qualified', '52.0 days 11.0 hours 55.0 minutes 43.0 seconds'), ('Withdraw', '5.0 days 17.0 hours 35.0 minutes 38.0 seconds'), ('AR - Satisfied - application details', '5.0 days 13.0 hours 40.0 minutes 9.0 seconds'), ('Release Assessment Hold', '5.0 days 0.0 hours 34.0 minutes 50.0 seconds'), ('Put Assessment On-Hold', '49.0 days 7.0 hours 46.0 minutes 25.0 seconds'), ('Release Offer', '48.0 days 3.0 hours 13.0 minutes 48.0 seconds'), ('Assessment Outcome - Successful', '34.0 days 7.0 hours 33.0 minutes 41.0 seconds'), ('OC - Created - Other', '31.0 days 16.0 hours 15.0 minutes 21.0 seconds'), ('AR - Satisfied - further information', '30.0 days 19.0 hours 18.0 minutes 47.0 seconds'), ('AR - Satisfied - previous or current study', '24.0 days 7.0 hours 56.0 minutes 39.0 seconds'), ('AR - Created - further information', '2.0 days 6.0 hours 53.0 minutes 11.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '2.0 days 3.0 hours 38.0 minutes 50.0 seconds'), ('AR - Satisfied - Other', '2.0 days 17.0 hours 43.0 minutes 24.0 seconds'), ('AR - Not Satisfied - ELR', '2.0 days 16.0 hours 35.0 minutes 36.0 seconds'), ('AR - Satisfied - ELR', '13.0 days 3.0 hours 41.0 minutes 2.0 seconds'), ('AR - Satisfied - advanced standing', '12.0 days 13.0 hours 29.0 minutes 20.0 seconds'), ('AR - Reviewed - ELR', '11.0 days 13.0 hours 7.0 minutes 45.0 seconds'), ('AR - Created - Other', '11.0 days 12.0 hours 4.0 minutes 36.0 seconds'), ('Send for Assessment', '104.0 days 6.0 hours 59.0 minutes 1.0 seconds'), ('Put Triage On-Hold', '10.0 days 17.0 hours 3.0 minutes 21.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 5.0 hours 41.0 minutes 47.0 seconds'), ('OC - Not Satisfied - Other', '0.0 days 23.0 hours 51.0 minutes 30.0 seconds'), ('Back to Triage', '0.0 days 16.0 hours 27.0 minutes 18.0 seconds'), ('Decline', '0.0 days 14.0 hours 55.0 minutes 11.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 48.0 minutes 0.0 seconds'), ('Restart Offer Workflow', '0.0 days 0.0 hours 3.0 minutes 0.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('AR - Reviewed - previous or current study', '0.0 days 0.0 hours 0.0 minutes 31.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 0.0 minutes 29.0 seconds'), ('AR - Created - agent', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds')]",10670327,1259098611.0
8,68,129 days 12 hours 56 minutes 12 seconds,124.0 days 14.0 hours 33.0 minutes 19.5 seconds,94.12%,"[('OC - Satisfied - Other', 92), ('AR - Satisfied - Other', 81), ('Release Offer', 69), ('Accept', 60), ('AR - Created - Other', 56), ('OC - Created - Other', 50)]","[('OC - Created - further information', '8.0 days 4.0 hours 53.0 minutes 38.0 seconds'), ('AR - Satisfied - previous or current study', '8.0 days 20.0 hours 13.0 minutes 22.0 seconds'), ('AR - Satisfied - Other', '7.0 days 1.0 hours 1.0 minutes 30.0 seconds'), ('Release Offer', '63.0 days 13.0 hours 21.0 minutes 54.0 seconds'), ('AR - Satisfied - agent', '6.0 days 23.0 hours 43.0 minutes 48.0 seconds'), ('OC - Satisfied - Other', '5.0 days 8.0 hours 7.0 minutes 29.0 seconds'), ('AR - Satisfied - ELR', '5.0 days 16.0 hours 0.0 minutes 49.0 seconds'), ('AR - Satisfied - advanced standing', '4.0 days 19.0 hours 12.0 minutes 54.0 seconds'), ('Assessment Decision - Qualified', '37.0 days 0.0 hours 6.0 minutes 41.0 seconds'), ('AR - Satisfied - further information', '34.0 days 19.0 hours 38.0 minutes 37.0 seconds'), ('AR - Reviewed - ELR', '34.0 days 12.0 hours 3.0 minutes 5.0 seconds'), ('Release Assessment Hold', '28.0 days 4.0 hours 51.0 minutes 17.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '2.0 days 19.0 hours 21.0 minutes 55.0 seconds'), ('AR - Satisfied - application details', '2.0 days 13.0 hours 29.0 minutes 57.0 seconds'), ('OC - Created - Other', '19.0 days 10.0 hours 24.0 minutes 57.0 seconds'), ('Put Assessment On-Hold', '13.0 days 19.0 hours 17.0 minutes 28.0 seconds'), ('AR - Created - Other', '10.0 days 3.0 hours 43.0 minutes 56.0 seconds'), ('Decline', '1.0 days 19.0 hours 13.0 minutes 13.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 3.0 hours 49.0 minutes 20.0 seconds'), ('OC - Reviewed - Other', '0.0 days 15.0 hours 5.0 minutes 9.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 2.0 minutes 21.0 seconds'), ('Restart Offer Workflow', '0.0 days 0.0 hours 1.0 minutes 12.0 seconds'), ('AR - Reviewed - advanced standing', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds')]",11192172,761067745.0
9,36,121 days 9 hours 45 minutes 36 seconds,99.0 days 8.0 hours 50.0 minutes 33.0 seconds,88.89%,"[('OC - Satisfied - Other', 58), ('Release Offer', 37), ('Accept', 32), ('AR - Satisfied - Other', 31), ('OC - Created - Other', 22), ('Manage Acceptance', 21)]","[('AR - Created - further information', '8.0 days 1.0 hours 5.0 minutes 19.0 seconds'), ('OC - Created - Other', '7.0 days 21.0 hours 34.0 minutes 46.0 seconds'), ('AR - Satisfied - agent', '7.0 days 10.0 hours 44.0 minutes 43.0 seconds'), ('OC - Satisfied - ELR', '6.0 days 15.0 hours 53.0 minutes 26.0 seconds'), ('AR - Satisfied - ELR', '6.0 days 1.0 hours 48.0 minutes 33.0 seconds'), ('AR - Satisfied - previous or current study', '47.0 days 13.0 hours 36.0 minutes 9.0 seconds'), ('AR - Satisfied - Other', '4.0 days 4.0 hours 49.0 minutes 7.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '4.0 days 22.0 hours 24.0 minutes 34.0 seconds'), ('Release Assessment Hold', '39.0 days 14.0 hours 7.0 minutes 35.0 seconds'), ('Release Offer', '38.0 days 10.0 hours 28.0 minutes 24.0 seconds'), ('Assessment Decision - Qualified', '3.0 days 9.0 hours 29.0 minutes 12.0 seconds'), ('Acacdemic - Assessment Decision - Not Qualified', '3.0 days 12.0 hours 37.0 minutes 22.0 seconds'), ('AR - Not Satisfied - ELR', '29.0 days 2.0 hours 5.0 minutes 36.0 seconds'), ('OC - Created - further information', '24.0 days 20.0 hours 23.0 minutes 7.0 seconds'), ('AR - Satisfied - further information', '23.0 days 5.0 hours 6.0 minutes 56.0 seconds'), ('AR - Satisfied - advanced standing', '23.0 days 20.0 hours 0.0 minutes 40.0 seconds'), ('AR - Created - Other', '20.0 days 15.0 hours 42.0 minutes 10.0 seconds'), ('OC - Satisfied - Other', '2.0 days 14.0 hours 22.0 minutes 58.0 seconds'), ('OC - Created - ELR', '10.0 days 1.0 hours 43.0 minutes 24.0 seconds'), ('AR - Satisfied - application details', '1.0 days 16.0 hours 13.0 minutes 11.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '0.0 days 8.0 hours 3.0 minutes 54.0 seconds'), ('OC - Satisfied - further information', '0.0 days 6.0 hours 33.0 minutes 40.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 23.0 hours 43.0 minutes 37.0 seconds'), ('Put Assessment On-Hold', '0.0 days 13.0 hours 27.0 minutes 24.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 1.0 minutes 16.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 42.0 seconds'), ('AR - Satisfied - work experience', '0.0 days 0.0 hours 0.0 minutes 31.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 0.0 minutes 25.0 seconds'), ('OC - Not Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 20.0 seconds')]",10489536,377623329.0
10,10,248 days 9 hours 23 minutes 17 seconds,264.0 days 6.0 hours 28.0 minutes 3.5 seconds,90.0%,"[('OC - Satisfied - Other', 19), ('Release Offer', 11), ('AR - Satisfied - Other', 9), ('Accept', 9), ('OC - Created - Other', 8), ('AR - Created - Other', 7)]","[('OC - Satisfied - Other', '7.0 days 2.0 hours 40.0 minutes 32.0 seconds'), ('Release Offer', '62.0 days 19.0 hours 25.0 minutes 49.0 seconds'), ('AR - Created - Other', '4.0 days 17.0 hours 48.0 minutes 20.0 seconds'), ('AR - Satisfied - application details', '4.0 days 0.0 hours 39.0 minutes 10.0 seconds'), ('AR - Satisfied - syllabus', '38.0 days 22.0 hours 5.0 minutes 51.0 seconds'), ('AR - Satisfied - Other', '36.0 days 10.0 hours 54.0 minutes 18.0 seconds'), ('AR - Satisfied - advanced standing', '3.0 days 4.0 hours 29.0 minutes 32.0 seconds'), ('AR - Satisfied - ELR', '3.0 days 14.0 hours 12.0 minutes 32.0 seconds'), ('OC - Created - Other', '2.0 days 21.0 hours 4.0 minutes 44.0 seconds'), ('AR - Satisfied - previous or current study', '2.0 days 17.0 hours 40.0 minutes 16.0 seconds'), ('End My Assessment', '19.0 days 13.0 hours 8.0 minutes 46.0 seconds'), ('Assessment Decision - Qualified', '176.0 days 1.0 hours 49.0 minutes 38.0 seconds'), ('Withdraw', '11.0 days 18.0 hours 39.0 minutes 1.0 seconds'), ('Restart Offer Workflow', '0.0 days 0.0 hours 3.0 minutes 4.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 2.0 minutes 27.0 seconds'), ('AR - Satisfied - work experience', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 0.0 minutes 11.0 seconds')]",21460997,214609977.0
