Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,Num of Occurrences per step(descending),Average time spends per step(descending),average time for workflow segment(seconds),sum time for workflow segment(seconds)
2,27,0 days 0 hours 3 minutes 8 seconds,0.0 days 0.0 hours 0.0 minutes 11.0 seconds,11.11%,"[('Assessment Outcome - Successful', 27), ('Create Offer', 24), ('Release Offer', 3)]","[('Assessment Outcome - Successful', '0.0 days 0.0 hours 3.0 minutes 8.0 seconds')]",188,5078.0
3,4029,0 days 7 hours 29 minutes 16 seconds,0.0 days 0.0 hours 2.0 minutes 12.0 seconds,99.5%,"[('Assessment Outcome - Successful', 4029), ('Create Offer', 4028), ('Release Offer', 4009), ('OC - Created - Other', 16), ('Assessment Decision - Qualified', 2), ('Put Assessment On-Hold', 2)]","[('Create Offer', '0.0 days 7.0 hours 29.0 minutes 11.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 2.0 minutes 18.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 11.0 seconds')]",26956,108608373.0
4,2097,0 days 11 hours 19 minutes 1 seconds,0.0 days 0.0 hours 2.0 minutes 39.0 seconds,99.81%,"[('Assessment Outcome - Successful', 2114), ('Create Offer', 2106), ('Release Offer', 2093), ('OC - Created - Other', 1989), ('Assessment Decision - Qualified', 39), ('Release Assessment Hold', 7)]","[('AR - Satisfied - previous or current study', '6.0 days 0.0 hours 44.0 minutes 59.0 seconds'), ('Put Assessment On-Hold', '2.0 days 23.0 hours 31.0 minutes 42.0 seconds'), ('OC - Created - ELR', '2.0 days 17.0 hours 25.0 minutes 44.0 seconds'), ('AR - Satisfied - applicant demographics', '2.0 days 11.0 hours 11.0 minutes 43.0 seconds'), ('AR - Satisfied - ELR', '1.0 days 23.0 hours 1.0 minutes 5.0 seconds'), ('AR - Created - Other', '0.0 days 9.0 hours 26.0 minutes 49.0 seconds'), ('Create Offer', '0.0 days 5.0 hours 8.0 minutes 28.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '0.0 days 5.0 hours 54.0 minutes 15.0 seconds'), ('OC - Created - Other', '0.0 days 5.0 hours 49.0 minutes 56.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 5.0 hours 28.0 minutes 45.0 seconds'), ('OC - Satisfied - Other', '0.0 days 17.0 hours 52.0 minutes 32.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 8.0 minutes 23.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 7.0 minutes 7.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 2.0 minutes 19.0 seconds'), ('End My Assessment', '0.0 days 0.0 hours 1.0 minutes 57.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 1.0 minutes 45.0 seconds'), ('OC - Created - further information', '0.0 days 0.0 hours 0.0 minutes 54.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds')]",40741,85434748.0
5,125,6 days 9 hours 18 minutes 42 seconds,0.0 days 0.0 hours 6.0 minutes 22.0 seconds,98.4%,"[('Assessment Outcome - Successful', 134), ('Create Offer', 127), ('OC - Created - Other', 123), ('Release Offer', 123), ('Assessment Decision - Qualified', 44), ('Assessment Decision - No Decision', 19)]","[('OC - Satisfied - Other', '8.0 days 13.0 hours 42.0 minutes 0.0 seconds'), ('Put Assessment On-Hold', '6.0 days 6.0 hours 25.0 minutes 21.0 seconds'), ('AR - Satisfied - previous or current study', '4.0 days 16.0 hours 55.0 minutes 45.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '133.0 days 22.0 hours 55.0 minutes 11.0 seconds'), ('OC - Created - Other', '1.0 days 21.0 hours 51.0 minutes 31.0 seconds'), ('Create Offer', '1.0 days 19.0 hours 30.0 minutes 55.0 seconds'), ('AR - Satisfied - applicant demographics', '1.0 days 19.0 hours 13.0 minutes 18.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 16.0 hours 23.0 minutes 31.0 seconds'), ('AR - Satisfied - ELR', '1.0 days 14.0 hours 39.0 minutes 11.0 seconds'), ('Back to Triage', '0.0 days 23.0 hours 15.0 minutes 12.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 6.0 minutes 33.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 56.0 minutes 17.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 54.0 minutes 38.0 seconds'), ('Send for Assessment', '0.0 days 0.0 hours 4.0 minutes 32.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 12.0 minutes 57.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 11.0 minutes 11.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 1.0 minutes 16.0 seconds')]",551922,68990357.0
6,24,26 days 2 hours 52 minutes 15 seconds,0.0 days 22.0 hours 13.0 minutes 0.0 seconds,91.67%,"[('Assessment Outcome - Successful', 25), ('Create Offer', 25), ('OC - Created - Other', 23), ('Release Offer', 22), ('Assessment Decision - No Decision', 8), ('Assessment Decision - Qualified', 8)]","[('OC - Satisfied - Other', '8.0 days 22.0 hours 23.0 minutes 15.0 seconds'), ('AR - Satisfied - agent', '7.0 days 3.0 hours 13.0 minutes 32.0 seconds'), ('OC - Created - Other', '5.0 days 21.0 hours 41.0 minutes 8.0 seconds'), ('Assessment Decision - No Decision', '2.0 days 13.0 hours 14.0 minutes 2.0 seconds'), ('Unsuccessful', '122.0 days 1.0 hours 25.0 minutes 32.0 seconds'), ('AR - Reviewed - previous or current study', '12.0 days 4.0 hours 29.0 minutes 4.0 seconds'), ('Create Offer', '11.0 days 21.0 hours 10.0 minutes 8.0 seconds'), ('AR - Satisfied - ELR', '1.0 days 0.0 hours 6.0 minutes 39.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 5.0 hours 55.0 minutes 32.0 seconds'), ('Send for Assessment', '0.0 days 17.0 hours 40.0 minutes 55.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 17.0 hours 32.0 minutes 38.0 seconds'), ('Put Assessment On-Hold', '0.0 days 14.0 hours 38.0 minutes 41.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 1.0 hours 17.0 minutes 32.0 seconds'), ('Back to Triage', '0.0 days 1.0 hours 11.0 minutes 20.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 11.0 minutes 23.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 23.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds')]",2256735,54161658.0
7,8,38 days 20 hours 17 minutes 45 seconds,6.0 days 19.0 hours 30.0 minutes 41.5 seconds,87.5%,"[('OC - Created - Other', 9), ('Assessment Outcome - Successful', 8), ('Create Offer', 8), ('Release Offer', 7), ('Assessment Decision - No Decision', 4), ('Put Assessment On-Hold', 3)]","[('OC - Created - Other', '32.0 days 5.0 hours 59.0 minutes 26.0 seconds'), ('AR - Satisfied - ELR', '2.0 days 12.0 hours 52.0 minutes 40.0 seconds'), ('Send for Assessment', '1.0 days 3.0 hours 48.0 minutes 49.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 23.0 hours 43.0 minutes 27.0 seconds'), ('Put Assessment On-Hold', '0.0 days 6.0 hours 27.0 minutes 40.0 seconds'), ('Create Offer', '0.0 days 3.0 hours 12.0 minutes 43.0 seconds'), ('End My Assessment', '0.0 days 15.0 hours 56.0 minutes 36.0 seconds'), ('Back to Triage', '0.0 days 0.0 hours 23.0 minutes 46.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '0.0 days 0.0 hours 1.0 minutes 5.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 1.0 minutes 29.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 37.0 seconds'), ('OC - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 35.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 0.0 minutes 22.0 seconds'), ('Put Triage On-Hold', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 11.0 seconds')]",3356265,26850121.0
8,5,41 days 0 hours 52 minutes 32 seconds,58.0 days 2.0 hours 7.0 minutes 55.0 seconds,80.0%,"[('Assessment Outcome - Successful', 5), ('Create Offer', 5), ('Assessment Decision - No Decision', 5), ('OC - Created - Other', 4), ('Release Offer', 4), ('Put Assessment On-Hold', 2)]","[('OC - Satisfied - Other', '8.0 days 20.0 hours 40.0 minutes 20.0 seconds'), ('Create Offer', '3.0 days 14.0 hours 27.0 minutes 41.0 seconds'), ('Assessment Decision - No Decision', '25.0 days 0.0 hours 11.0 minutes 9.0 seconds'), ('OC - Created - Other', '1.0 days 1.0 hours 33.0 minutes 44.0 seconds'), ('Put Assessment On-Hold', '0.0 days 12.0 hours 44.0 minutes 55.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 10.0 hours 2.0 minutes 28.0 seconds'), ('End My Assessment', '0.0 days 0.0 hours 50.0 minutes 28.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 4.0 minutes 10.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 1.0 minutes 42.0 seconds'), ('AR - Satisfied - agent', '0.0 days 0.0 hours 1.0 minutes 22.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 0.0 minutes 42.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds')]",3545552,17727760.0
9,4,75 days 3 hours 17 minutes 8 seconds,73.0 days 9.0 hours 2.0 minutes 14.5 seconds,50.0%,"[('OC - Created - Other', 8), ('OC - Satisfied - Other', 6), ('Assessment Outcome - Successful', 4), ('Create Offer', 4), ('Assessment Outcome - Ineligible / Withdrawn', 2), ('Unsuccessful', 2)]","[('Create Offer', '4.0 days 5.0 hours 36.0 minutes 39.0 seconds'), ('AR - Created - Other', '4.0 days 20.0 hours 32.0 minutes 30.0 seconds'), ('Unsuccessful', '29.0 days 23.0 hours 45.0 minutes 27.0 seconds'), ('AR - Satisfied - Other', '20.0 days 22.0 hours 21.0 minutes 52.0 seconds'), ('OC - Created - Other', '2.0 days 15.0 hours 19.0 minutes 32.0 seconds'), ('Assessment Decision - No Decision', '19.0 days 23.0 hours 50.0 minutes 33.0 seconds'), ('AR - Satisfied - previous or current study', '17.0 days 2.0 hours 46.0 minutes 1.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 1.0 minutes 23.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 0.0 minutes 4.0 seconds'), ('OC - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 24.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds')]",6491828,25967313.0
10,2,11 days 12 hours 6 minutes 7 seconds,11.0 days 12.0 hours 6.0 minutes 7.5 seconds,100.0%,"[('Assessment Outcome - Successful', 2), ('Create Offer', 2), ('Put Assessment On-Hold', 2), ('Release Assessment Hold', 2), ('Release Offer', 2), ('AR - Satisfied - ELR', 2)]","[('Put Assessment On-Hold', '3.0 days 14.0 hours 6.0 minutes 41.0 seconds'), ('OC - Not Satisfied - Other', '1.0 days 0.0 hours 33.0 minutes 36.0 seconds'), ('Release Assessment Hold', '0.0 days 23.0 hours 50.0 minutes 8.0 seconds'), ('AR - Satisfied - agent', '0.0 days 0.0 hours 3.0 minutes 1.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 0.0 hours 21.0 minutes 0.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 2.0 minutes 33.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 11.0 minutes 40.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 1.0 minutes 6.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 1.0 minutes 21.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 0.0 hours 0.0 minutes 25.0 seconds')]",993967,1987935.0
12,1,7 days 22 hours 58 minutes 35 seconds,7.0 days 22.0 hours 58.0 minutes 35.0 seconds,100.0%,"[('Assessment Outcome - Successful', 1), ('Create Offer', 1), ('AR - Satisfied - application details', 1), ('AR - Satisfied - financial (sponsorship, scholarship etc)', 1), ('AR - Satisfied - advanced standing', 1), ('AR - Created - applicant demographics', 1)]","[('Create Offer', '3.0 days 23.0 hours 3.0 minutes 34.0 seconds'), ('AR - Satisfied - advanced standing', '3.0 days 1.0 hours 58.0 minutes 52.0 seconds'), ('Put Triage On-Hold', '0.0 days 21.0 hours 29.0 minutes 30.0 seconds'), ('Send for Assessment', '0.0 days 0.0 hours 22.0 minutes 38.0 seconds'), ('AR - Satisfied - applicant demographics', '0.0 days 0.0 hours 1.0 minutes 58.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 0.0 hours 1.0 minutes 17.0 seconds'), ('Back to Triage', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 4.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 16.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 11.0 seconds'), ('Release Offer', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]",687515,687515.0
