Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,Num of Occurrences per step(descending),Average time spends per step(descending),average time for workflow segment(seconds),sum time for workflow segment(seconds)
1,537,0 days 0 hours 0 minutes 0 seconds,0.0 days 0.0 hours 0.0 minutes 0.0 seconds,0.0%,"[('Submit', 537)]",[],0,0.0
2,177,17 days 17 hours 53 minutes 27 seconds,9.0 days 22.0 hours 36.0 minutes 34.0 seconds,76.84%,"[('Submit', 177), ('Send for Assessment', 136), ('WITHDRAW & LOCK', 21), ('Put Triage On-Hold', 7), ('Assessment Outcome - Ineligible / Withdrawn', 3), ('AR - Satisfied - entry points', 3)]","[('AR - Created - applicant demographics', '4.0 days 22.0 hours 9.0 minutes 56.0 seconds'), ('Submit', '17.0 days 17.0 hours 13.0 minutes 24.0 seconds')]",1533207,271377712.0
3,174,16 days 15 hours 57 minutes 18 seconds,9.0 days 16.0 hours 55.0 minutes 40.5 seconds,74.14%,"[('Submit', 177), ('Send for Assessment', 129), ('AR - Satisfied - ELR', 50), ('AR - Satisfied - previous or current study', 45), ('AR - Created - previous or current study', 15), ('AR - Created - applicant demographics', 12)]","[('Put Triage On-Hold', '5.0 days 13.0 hours 5.0 minutes 40.0 seconds'), ('Submit', '15.0 days 15.0 hours 49.0 minutes 8.0 seconds'), ('AR - Satisfied - entry points', '1.0 days 12.0 hours 28.0 minutes 19.0 seconds'), ('AR - Satisfied - applicant demographics', '0.0 days 5.0 hours 27.0 minutes 22.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 21.0 hours 37.0 minutes 37.0 seconds'), ('AR - Satisfied - agent', '0.0 days 2.0 hours 10.0 minutes 1.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 19.0 hours 59.0 minutes 19.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 19.0 hours 20.0 minutes 34.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 1.0 hours 8.0 minutes 11.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 7.0 minutes 59.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 58.0 minutes 22.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 5.0 minutes 57.0 seconds'), ('AR - Satisfied - work experience', '0.0 days 0.0 hours 5.0 minutes 40.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 3.0 minutes 13.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 2.0 minutes 55.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 2.0 minutes 27.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 2.0 minutes 10.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 12.0 minutes 35.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 1.0 minutes 45.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 1.0 minutes 31.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '0.0 days 0.0 hours 0.0 minutes 41.0 seconds'), ('AR - Reviewed - previous or current study', '0.0 days 0.0 hours 0.0 minutes 18.0 seconds')]",1439838,250531812.0
4,537,15 days 8 hours 51 minutes 14 seconds,10.0 days 21.0 hours 25.0 minutes 39.0 seconds,90.32%,"[('Submit', 540), ('Send for Assessment', 485), ('AR - Satisfied - ELR', 335), ('AR - Satisfied - previous or current study', 312), ('AR - Satisfied - agent', 108), ('AR - Satisfied - advanced standing', 51)]","[('Put Triage On-Hold', '5.0 days 4.0 hours 54.0 minutes 20.0 seconds'), ('Assessment Decision - No Decision', '17.0 days 22.0 hours 37.0 minutes 21.0 seconds'), ('Submit', '14.0 days 10.0 hours 2.0 minutes 42.0 seconds'), ('WITHDRAW & LOCK', '1.0 days 0.0 hours 2.0 minutes 31.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 3.0 hours 47.0 minutes 49.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 23.0 hours 55.0 minutes 39.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 21.0 hours 0.0 minutes 48.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 2.0 hours 17.0 minutes 7.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 11.0 hours 50.0 minutes 22.0 seconds'), ('AR - Satisfied - agent', '0.0 days 1.0 hours 33.0 minutes 36.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 0.0 hours 8.0 minutes 7.0 seconds'), ('AR - Reviewed - entry points', '0.0 days 0.0 hours 7.0 minutes 31.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 6.0 minutes 50.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 5.0 minutes 21.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 44.0 minutes 36.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 44.0 minutes 1.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 34.0 minutes 48.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 3.0 minutes 15.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 3.0 minutes 14.0 seconds'), ('AR - Reviewed - ELR', '0.0 days 0.0 hours 3.0 minutes 0.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 23.0 minutes 10.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 2.0 minutes 3.0 seconds'), ('AR - Reviewed - previous or current study', '0.0 days 0.0 hours 2.0 minutes 18.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 2.0 minutes 11.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 19.0 minutes 49.0 seconds'), ('AR - Satisfied - work experience', '0.0 days 0.0 hours 19.0 minutes 33.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 1.0 minutes 48.0 seconds'), ('AR - Requested - Other', '0.0 days 0.0 hours 1.0 minutes 17.0 seconds'), ('AR - Satisfied - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 4.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 36.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds')]",1327874,713068533.0
5,916,16 days 6 hours 26 minutes 55 seconds,11.0 days 14.0 hours 17.0 minutes 14.5 seconds,95.09%,"[('Submit', 921), ('Send for Assessment', 871), ('AR - Satisfied - previous or current study', 711), ('AR - Satisfied - ELR', 614), ('AR - Satisfied - agent', 294), ('AR - Satisfied - advanced standing', 253)]","[('AR - Created - further information', '8.0 days 3.0 hours 37.0 minutes 16.0 seconds'), ('AR - Created - advanced standing', '4.0 days 22.0 hours 5.0 minutes 1.0 seconds'), ('AR - Reviewed - syllabus', '3.0 days 23.0 hours 14.0 minutes 51.0 seconds'), ('Submit', '14.0 days 11.0 hours 4.0 minutes 42.0 seconds'), ('Put Triage On-Hold', '12.0 days 10.0 hours 31.0 minutes 1.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 9.0 hours 35.0 minutes 15.0 seconds'), ('AR - Satisfied - agent', '0.0 days 7.0 hours 31.0 minutes 9.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 5.0 hours 15.0 minutes 10.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 3.0 hours 32.0 minutes 53.0 seconds'), ('OC - Created - Other', '0.0 days 3.0 hours 32.0 minutes 15.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 3.0 hours 25.0 minutes 57.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 3.0 hours 21.0 minutes 1.0 seconds'), ('AR - Requested - further information', '0.0 days 2.0 hours 4.0 minutes 10.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 10.0 hours 25.0 minutes 58.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 1.0 hours 16.0 minutes 39.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 1.0 hours 16.0 minutes 20.0 seconds'), ('AR - Reviewed - work experience', '0.0 days 0.0 hours 7.0 minutes 43.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 5.0 minutes 57.0 seconds'), ('AR - Satisfied - work experience', '0.0 days 0.0 hours 4.0 minutes 7.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 4.0 minutes 30.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 4.0 minutes 19.0 seconds'), ('AR - Reviewed - specialisation', '0.0 days 0.0 hours 33.0 minutes 40.0 seconds'), ('AR - Requested - Other', '0.0 days 0.0 hours 3.0 minutes 25.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 28.0 minutes 11.0 seconds'), ('AR - Created - Other', '0.0 days 0.0 hours 2.0 minutes 59.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 2.0 minutes 5.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 0.0 hours 2.0 minutes 28.0 seconds'), ('AR - Satisfied - applicant demographics', '0.0 days 0.0 hours 2.0 minutes 14.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 2.0 minutes 14.0 seconds'), ('AR - Reviewed - entry points', '0.0 days 0.0 hours 1.0 minutes 59.0 seconds'), ('AR - Reviewed - application details', '0.0 days 0.0 hours 1.0 minutes 37.0 seconds'), ('AR - Not Satisfied - syllabus', '0.0 days 0.0 hours 1.0 minutes 3.0 seconds'), ('AR - Requested - ELR', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('AR - Reviewed - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '0.0 days 0.0 hours 0.0 minutes 51.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Requested - agent', '0.0 days 0.0 hours 0.0 minutes 48.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 0.0 minutes 43.0 seconds'), ('AR - Reviewed - advanced standing', '0.0 days 0.0 hours 0.0 minutes 28.0 seconds'), ('AR - Requested - previous or current study', '0.0 days 0.0 hours 0.0 minutes 25.0 seconds'), ('AR - Not Satisfied - previous or current study', '0.0 days 0.0 hours 0.0 minutes 23.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 0.0 minutes 20.0 seconds')]",1405615,1287543862.0
6,1087,20 days 3 hours 52 minutes 31 seconds,13.0 days 4.0 hours 57.0 minutes 30.0 seconds,93.1%,"[('Submit', 1090), ('Send for Assessment', 1012), ('AR - Satisfied - previous or current study', 966), ('AR - Satisfied - ELR', 683), ('AR - Satisfied - agent', 393), ('AR - Satisfied - advanced standing', 315)]","[('AR - Requested - previous or current study', '8.0 days 3.0 hours 2.0 minutes 9.0 seconds'), ('AR - Requested - further information', '6.0 days 14.0 hours 32.0 minutes 1.0 seconds'), ('AR - Created - advanced standing', '4.0 days 22.0 hours 5.0 minutes 1.0 seconds'), ('Assessment Outcome - No Outcome Set', '4.0 days 20.0 hours 31.0 minutes 26.0 seconds'), ('AR - Created - applicant demographics', '25.0 days 3.0 hours 13.0 minutes 29.0 seconds'), ('AR - Satisfied - applicant demographics', '2.0 days 8.0 hours 36.0 minutes 8.0 seconds'), ('Put Triage On-Hold', '15.0 days 9.0 hours 16.0 minutes 17.0 seconds'), ('Submit', '14.0 days 13.0 hours 32.0 minutes 47.0 seconds'), ('OC - Created - Other', '1.0 days 6.0 hours 54.0 minutes 10.0 seconds'), ('Assessment Decision - Qualified', '1.0 days 10.0 hours 26.0 minutes 37.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 10.0 hours 12.0 minutes 59.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 8.0 hours 52.0 minutes 14.0 seconds'), ('AR - Satisfied - work experience', '0.0 days 5.0 hours 43.0 minutes 19.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 5.0 hours 37.0 minutes 7.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 5.0 hours 35.0 minutes 33.0 seconds'), ('AR - Created - Other', '0.0 days 4.0 hours 2.0 minutes 46.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 2.0 hours 30.0 minutes 4.0 seconds'), ('AR - Reviewed - previous or current study', '0.0 days 2.0 hours 23.0 minutes 54.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 17.0 hours 31.0 minutes 37.0 seconds'), ('AR - Satisfied - agent', '0.0 days 15.0 hours 19.0 minutes 22.0 seconds'), ('AR - Created - previous or current study', '0.0 days 12.0 hours 49.0 minutes 29.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 1.0 hours 25.0 minutes 56.0 seconds'), ('AR - Reviewed - syllabus', '0.0 days 0.0 hours 8.0 minutes 53.0 seconds'), ('AR - Created - syllabus', '0.0 days 0.0 hours 8.0 minutes 49.0 seconds'), ('AR - Requested - ELR', '0.0 days 0.0 hours 8.0 minutes 46.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 6.0 minutes 5.0 seconds'), ('AR - Reviewed - ELR', '0.0 days 0.0 hours 49.0 minutes 10.0 seconds'), ('AR - Not Satisfied - agent', '0.0 days 0.0 hours 3.0 minutes 55.0 seconds'), ('AR - Reviewed - work experience', '0.0 days 0.0 hours 3.0 minutes 47.0 seconds'), ('AR - Reviewed - agent', '0.0 days 0.0 hours 3.0 minutes 39.0 seconds'), ('AR - Requested - applicant demographics', '0.0 days 0.0 hours 3.0 minutes 35.0 seconds'), ('AR - Requested - Other', '0.0 days 0.0 hours 3.0 minutes 32.0 seconds'), ('AR - Not Satisfied - previous or current study', '0.0 days 0.0 hours 3.0 minutes 29.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 3.0 minutes 14.0 seconds'), ('AR - Requested - agent', '0.0 days 0.0 hours 2.0 minutes 9.0 seconds'), ('AR - Created - further information', '0.0 days 0.0 hours 2.0 minutes 59.0 seconds'), ('AR - Reviewed - advanced standing', '0.0 days 0.0 hours 2.0 minutes 55.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 2.0 minutes 41.0 seconds'), ('AR - Reviewed - specialisation', '0.0 days 0.0 hours 11.0 minutes 20.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 11.0 minutes 2.0 seconds'), ('Release Triage Hold', '0.0 days 0.0 hours 11.0 minutes 19.0 seconds'), ('AR - Not Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 10.0 minutes 8.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 1.0 minutes 5.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 1.0 minutes 39.0 seconds'), ('AR - Satisfied - personal statement/expression of interest', '0.0 days 0.0 hours 1.0 minutes 26.0 seconds'), ('AR - Reviewed - entry points', '0.0 days 0.0 hours 0.0 minutes 57.0 seconds'), ('AR - Reviewed - application details', '0.0 days 0.0 hours 0.0 minutes 46.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 0.0 minutes 4.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 0.0 minutes 23.0 seconds'), ('AR - Requested - work experience', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('AR - Reviewed - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds')]",1741951,1893501011.0
7,1403,20 days 1 hours 49 minutes 41 seconds,13.0 days 21.0 hours 9.0 minutes 12.0 seconds,92.73%,"[('AR - Satisfied - previous or current study', 1421), ('Submit', 1410), ('Send for Assessment', 1301), ('AR - Satisfied - ELR', 899), ('AR - Satisfied - agent', 660), ('AR - Satisfied - entry points', 538)]","[('AR - Requested - previous or current study', '5.0 days 2.0 hours 31.0 minutes 34.0 seconds'), ('Assessment Decision - No Decision', '2.0 days 4.0 hours 42.0 minutes 43.0 seconds'), ('AR - Requested - agent', '2.0 days 20.0 hours 59.0 minutes 47.0 seconds'), ('AR - Satisfied - applicant demographics', '16.0 days 9.0 hours 42.0 minutes 3.0 seconds'), ('Submit', '14.0 days 16.0 hours 57.0 minutes 50.0 seconds'), ('Put Triage On-Hold', '10.0 days 9.0 hours 25.0 minutes 30.0 seconds'), ('AR - Satisfied - previous or current study', '1.0 days 2.0 hours 22.0 minutes 54.0 seconds'), ('AR - Reviewed - advanced standing', '1.0 days 2.0 hours 0.0 minutes 58.0 seconds'), ('AR - Satisfied - further information', '1.0 days 18.0 hours 56.0 minutes 32.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 8.0 hours 57.0 minutes 7.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 7.0 hours 55.0 minutes 8.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 7.0 hours 11.0 minutes 15.0 seconds'), ('AR - Satisfied - work experience', '0.0 days 4.0 hours 35.0 minutes 47.0 seconds'), ('AR - Created - previous or current study', '0.0 days 4.0 hours 32.0 minutes 52.0 seconds'), ('Release Triage Hold', '0.0 days 3.0 hours 48.0 minutes 19.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 2.0 hours 51.0 minutes 57.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 2.0 hours 42.0 minutes 27.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 19.0 hours 21.0 minutes 49.0 seconds'), ('AR - Reviewed - financial (sponsorship, scholarship etc)', '0.0 days 16.0 hours 27.0 minutes 36.0 seconds'), ('AR - Requested - Other', '0.0 days 12.0 hours 49.0 minutes 1.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 12.0 hours 37.0 minutes 27.0 seconds'), ('AR - Created - applicant demographics', '0.0 days 12.0 hours 18.0 minutes 19.0 seconds'), ('AR - Satisfied - agent', '0.0 days 11.0 hours 34.0 minutes 38.0 seconds'), ('AR - Created - further information', '0.0 days 10.0 hours 13.0 minutes 23.0 seconds'), ('AR - Created - Other', '0.0 days 1.0 hours 57.0 minutes 7.0 seconds'), ('OC - Created - Other', '0.0 days 1.0 hours 21.0 minutes 53.0 seconds'), ('AR - Reviewed - previous or current study', '0.0 days 0.0 hours 6.0 minutes 35.0 seconds'), ('AR - Satisfied - Other', '0.0 days 0.0 hours 52.0 minutes 43.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 4.0 minutes 43.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 4.0 minutes 32.0 seconds'), ('Assessment Decision - Not Assessed', '0.0 days 0.0 hours 4.0 minutes 15.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 0.0 hours 34.0 minutes 18.0 seconds'), ('OC - Not Satisfied - Other', '0.0 days 0.0 hours 3.0 minutes 22.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 2.0 minutes 52.0 seconds'), ('OC - Created - applicant demographics', '0.0 days 0.0 hours 2.0 minutes 38.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 0.0 hours 2.0 minutes 24.0 seconds'), ('AR - Reviewed - work experience', '0.0 days 0.0 hours 2.0 minutes 22.0 seconds'), ('AR - Reviewed - ELR', '0.0 days 0.0 hours 17.0 minutes 43.0 seconds'), ('Assessment Decision - System Assessed', '0.0 days 0.0 hours 1.0 minutes 8.0 seconds'), ('AR - Not Satisfied - previous or current study', '0.0 days 0.0 hours 1.0 minutes 6.0 seconds'), ('AR - Requested - further information', '0.0 days 0.0 hours 1.0 minutes 39.0 seconds'), ('AR - Not Satisfied - agent', '0.0 days 0.0 hours 1.0 minutes 26.0 seconds'), ('AR - Requested - personal statement/expression of interest', '0.0 days 0.0 hours 1.0 minutes 17.0 seconds'), ('AR - Requested - ELR', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Requested - specialisation', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Satisfied - personal statement/expression of interest', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('AR - Requested - work experience', '0.0 days 0.0 hours 0.0 minutes 5.0 seconds'), ('AR - Requested - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 46.0 seconds'), ('AR - Reviewed - entry points', '0.0 days 0.0 hours 0.0 minutes 43.0 seconds'), ('AR - Created - personal statement/expression of interest', '0.0 days 0.0 hours 0.0 minutes 32.0 seconds'), ('OC - Requested - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 27.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 0.0 minutes 21.0 seconds'), ('AR - Reviewed - syllabus', '0.0 days 0.0 hours 0.0 minutes 20.0 seconds'), ('AR - Reviewed - application details', '0.0 days 0.0 hours 0.0 minutes 19.0 seconds'), ('AR - Reviewed - specialisation', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('AR - Reviewed - Other', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds'), ('AR - Not Satisfied - specialisation', '0.0 days 0.0 hours 0.0 minutes 10.0 seconds')]",1734581,2433617521.0
8,1394,21 days 7 hours 32 minutes 8 seconds,14.0 days 21.0 hours 44.0 minutes 33.0 seconds,91.97%,"[('AR - Satisfied - previous or current study', 1533), ('Submit', 1395), ('Send for Assessment', 1282), ('AR - Satisfied - ELR', 875), ('AR - Satisfied - agent', 737), ('AR - Satisfied - entry points', 670)]","[('AR - Created - applicant demographics', '4.0 days 19.0 hours 43.0 minutes 11.0 seconds'), ('AR - Created - specialisation', '4.0 days 0.0 hours 12.0 minutes 18.0 seconds'), ('Assessment Decision - No Decision', '2.0 days 8.0 hours 36.0 minutes 59.0 seconds'), ('AR - Satisfied - applicant demographics', '2.0 days 3.0 hours 20.0 minutes 39.0 seconds'), ('AR - Requested - previous or current study', '2.0 days 10.0 hours 3.0 minutes 46.0 seconds'), ('Submit', '14.0 days 19.0 hours 11.0 minutes 37.0 seconds'), ('Put Triage On-Hold', '10.0 days 21.0 hours 30.0 minutes 37.0 seconds'), ('Assessment Decision - Not Qualified', '1.0 days 6.0 hours 32.0 minutes 19.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '1.0 days 3.0 hours 37.0 minutes 11.0 seconds'), ('AR - Satisfied - entry points', '0.0 days 7.0 hours 19.0 minutes 8.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 5.0 hours 10.0 minutes 40.0 seconds'), ('AR - Created - Other', '0.0 days 4.0 hours 41.0 minutes 12.0 seconds'), ('AR - Satisfied - application details', '0.0 days 3.0 hours 46.0 minutes 53.0 seconds'), ('AR - Requested - advanced standing', '0.0 days 21.0 hours 37.0 minutes 17.0 seconds'), ('AR - Created - previous or current study', '0.0 days 2.0 hours 57.0 minutes 30.0 seconds'), ('AR - Satisfied - work experience', '0.0 days 2.0 hours 47.0 minutes 37.0 seconds'), ('AR - Not Satisfied - ELR', '0.0 days 2.0 hours 44.0 minutes 31.0 seconds'), ('AR - Satisfied - specialisation', '0.0 days 2.0 hours 27.0 minutes 57.0 seconds'), ('Release Triage Hold', '0.0 days 2.0 hours 23.0 minutes 32.0 seconds'), ('AR - Created - further information', '0.0 days 2.0 hours 23.0 minutes 13.0 seconds'), ('AR - Requested - Other', '0.0 days 16.0 hours 1.0 minutes 8.0 seconds'), ('AR - Satisfied - previous or current study', '0.0 days 13.0 hours 30.0 minutes 34.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 11.0 hours 48.0 minutes 2.0 seconds'), ('AR - Satisfied - agent', '0.0 days 11.0 hours 21.0 minutes 42.0 seconds'), ('AR - Satisfied - Other', '0.0 days 10.0 hours 43.0 minutes 30.0 seconds'), ('AR - Satisfied - financial (sponsorship, scholarship etc)', '0.0 days 1.0 hours 36.0 minutes 50.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 1.0 hours 22.0 minutes 54.0 seconds'), ('AR - Requested - further information', '0.0 days 1.0 hours 15.0 minutes 33.0 seconds'), ('AR - Reviewed - advanced standing', '0.0 days 1.0 hours 1.0 minutes 57.0 seconds'), ('AR - Reviewed - entry points', '0.0 days 0.0 hours 7.0 minutes 20.0 seconds'), ('AR - Not Satisfied - agent', '0.0 days 0.0 hours 6.0 minutes 55.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 43.0 minutes 11.0 seconds'), ('AR - Requested - syllabus', '0.0 days 0.0 hours 4.0 minutes 5.0 seconds'), ('AR - Requested - agent', '0.0 days 0.0 hours 4.0 minutes 49.0 seconds'), ('AR - Satisfied - syllabus', '0.0 days 0.0 hours 4.0 minutes 14.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 2.0 minutes 33.0 seconds'), ('AR - Created - syllabus', '0.0 days 0.0 hours 2.0 minutes 23.0 seconds'), ('AR - Reviewed - work experience', '0.0 days 0.0 hours 2.0 minutes 1.0 seconds'), ('AR - Reviewed - Other', '0.0 days 0.0 hours 2.0 minutes 0.0 seconds'), ('AR - Not Satisfied - previous or current study', '0.0 days 0.0 hours 14.0 minutes 50.0 seconds'), ('AR - Reviewed - agent', '0.0 days 0.0 hours 1.0 minutes 9.0 seconds'), ('AR - Requested - applicant demographics', '0.0 days 0.0 hours 1.0 minutes 56.0 seconds'), ('OC - Reviewed - Other', '0.0 days 0.0 hours 1.0 minutes 50.0 seconds'), ('AR - Reviewed - specialisation', '0.0 days 0.0 hours 1.0 minutes 44.0 seconds'), ('AR - Requested - specialisation', '0.0 days 0.0 hours 1.0 minutes 14.0 seconds'), ('OC - Created - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds'), ('AR - Requested - ELR', '0.0 days 0.0 hours 0.0 minutes 8.0 seconds'), ('AR - Requested - work experience', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('OC - Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 49.0 seconds'), ('OC - Requested - applicant demographics', '0.0 days 0.0 hours 0.0 minutes 45.0 seconds'), ('AR - Reviewed - application details', '0.0 days 0.0 hours 0.0 minutes 42.0 seconds'), ('AR - Not Satisfied - syllabus', '0.0 days 0.0 hours 0.0 minutes 34.0 seconds'), ('AR - Reviewed - financial (sponsorship, scholarship etc)', '0.0 days 0.0 hours 0.0 minutes 3.0 seconds'), ('AR - Reviewed - previous or current study', '0.0 days 0.0 hours 0.0 minutes 28.0 seconds'), ('AR - Reviewed - syllabus', '0.0 days 0.0 hours 0.0 minutes 21.0 seconds'), ('AR - Satisfied - personal statement/expression of interest', '0.0 days 0.0 hours 0.0 minutes 20.0 seconds'), ('Assessment Decision - System Assessed', '0.0 days 0.0 hours 0.0 minutes 18.0 seconds'), ('AR - Reviewed - ELR', '0.0 days 0.0 hours 0.0 minutes 15.0 seconds'), ('Assessment Decision - Not Assessed', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds'), ('AR - Created - work experience', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds')]",1841528,2567090640.0
