Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,Num of Occurrences per step(descending),Average time spends per step(descending),average time for workflow segment(seconds),sum time for workflow segment(seconds)
1,126,0 days 0 hours 0 minutes 0 seconds,0.0 days 0.0 hours 0.0 minutes 0.0 seconds,0.0%,"[('Release Offer', 126)]",[],0,0.0
2,601,31 days 9 hours 25 minutes 56 seconds,15.0 days 7.0 hours 9.0 minutes 42.0 seconds,45.01%,"[('Release Offer', 602), ('Accept', 482), ('Defer', 59), ('Decline', 24), ('OC - Satisfied - Other', 22), ('OC - Created - Other', 7)]","[('Release Offer', '31.0 days 8.0 hours 10.0 minutes 51.0 seconds')]",2712356,1630126344.0
3,301,63 days 12 hours 49 minutes 11 seconds,49.0 days 14.0 hours 3.0 minutes 4.0 seconds,30.56%,"[('Release Offer', 302), ('Accept', 257), ('OC - Satisfied - Other', 168), ('Manage Acceptance', 93), ('Defer', 19), ('OC - Created - Other', 17)]","[('AR - Satisfied - further information', '8.0 days 23.0 hours 24.0 minutes 20.0 seconds'), ('OC - Created - Other', '68.0 days 19.0 hours 28.0 minutes 27.0 seconds'), ('End My Assessment', '6.0 days 12.0 hours 34.0 minutes 37.0 seconds'), ('Release Offer', '51.0 days 2.0 hours 35.0 minutes 18.0 seconds'), ('AR - Satisfied - GAM', '43.0 days 18.0 hours 45.0 minutes 27.0 seconds'), ('AR - Satisfied - advanced standing', '36.0 days 3.0 hours 24.0 minutes 57.0 seconds'), ('AR - Satisfied - syllabus', '35.0 days 3.0 hours 28.0 minutes 23.0 seconds'), ('Assessment Decision - Qualified', '22.0 days 19.0 hours 53.0 minutes 31.0 seconds'), ('AR - Satisfied - previous or current study', '17.0 days 20.0 hours 2.0 minutes 47.0 seconds'), ('Release Assessment Hold', '16.0 days 22.0 hours 14.0 minutes 9.0 seconds'), ('OC - Satisfied - Other', '11.0 days 17.0 hours 0.0 minutes 15.0 seconds'), ('Assessment Decision - No Decision', '1.0 days 8.0 hours 8.0 minutes 52.0 seconds'), ('AR - Created - further information', '1.0 days 8.0 hours 12.0 minutes 15.0 seconds'), ('OC - Not Satisfied - Other', '0.0 days 0.0 hours 4.0 minutes 18.0 seconds')]",5489351,1652294751.0
4,53,57 days 23 hours 57 minutes 14 seconds,49.0 days 8.0 hours 13.0 minutes 48.0 seconds,21.7%,"[('Release Offer', 54), ('Accept', 42), ('OC - Satisfied - Other', 35), ('Manage Acceptance', 18), ('OC - Created - Other', 17), ('Assessment Decision - Qualified', 8)]","[('OC - Reviewed - Other', '43.0 days 8.0 hours 49.0 minutes 13.0 seconds'), ('OC - Requested - Other', '4.0 days 9.0 hours 27.0 minutes 8.0 seconds'), ('AR - Satisfied - previous or current study', '4.0 days 23.0 hours 59.0 minutes 11.0 seconds'), ('OC - Created - Other', '37.0 days 7.0 hours 39.0 minutes 14.0 seconds'), ('AR - Reviewed - advanced standing', '3.0 days 17.0 hours 12.0 minutes 57.0 seconds'), ('Decline', '3.0 days 11.0 hours 34.0 minutes 25.0 seconds'), ('Release Offer', '25.0 days 22.0 hours 38.0 minutes 6.0 seconds'), ('Release Assessment Hold', '188.0 days 5.0 hours 15.0 minutes 36.0 seconds'), ('Assessment Decision - Qualified', '18.0 days 4.0 hours 31.0 minutes 25.0 seconds'), ('AR - Reviewed - GAM', '15.0 days 2.0 hours 41.0 minutes 25.0 seconds'), ('AR - Satisfied - further information', '14.0 days 8.0 hours 57.0 minutes 29.0 seconds'), ('Assessment Decision - No Decision', '13.0 days 18.0 hours 10.0 minutes 3.0 seconds'), ('AR - Satisfied - Other', '12.0 days 17.0 hours 7.0 minutes 45.0 seconds'), ('OC - Satisfied - Other', '11.0 days 11.0 hours 25.0 minutes 37.0 seconds'), ('End My Assessment', '0.0 days 23.0 hours 53.0 minutes 43.0 seconds'), ('AR - Reviewed - syllabus', '0.0 days 20.0 hours 12.0 minutes 22.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 35.0 minutes 54.0 seconds'), ('Acacdemic - Assessment Decision - Qualified', '0.0 days 0.0 hours 1.0 minutes 56.0 seconds')]",5011034,265584802.0
5,14,75 days 10 hours 12 minutes 26 seconds,46.0 days 20.0 hours 47.0 minutes 21.0 seconds,15.71%,"[('Release Offer', 15), ('Accept', 10), ('OC - Satisfied - Other', 10), ('AR - Satisfied - previous or current study', 8), ('Assessment Decision - Qualified', 4), ('Assessment Decision - No Decision', 3)]","[('Assessment Decision - Qualified', '86.0 days 18.0 hours 53.0 minutes 17.0 seconds'), ('Assessment Decision - No Decision', '7.0 days 1.0 hours 36.0 minutes 15.0 seconds'), ('AR - Not Satisfied - ELR', '6.0 days 6.0 hours 36.0 minutes 22.0 seconds'), ('AR - Created - Other', '5.0 days 18.0 hours 22.0 minutes 12.0 seconds'), ('OC - Created - Other', '40.0 days 3.0 hours 35.0 minutes 5.0 seconds'), ('AR - Satisfied - previous or current study', '30.0 days 14.0 hours 4.0 minutes 28.0 seconds'), ('AR - Reviewed - advanced standing', '27.0 days 4.0 hours 31.0 minutes 5.0 seconds'), ('AR - Satisfied - ELR', '21.0 days 12.0 hours 29.0 minutes 28.0 seconds'), ('OC - Satisfied - Other', '2.0 days 15.0 hours 13.0 minutes 32.0 seconds'), ('Release Offer', '16.0 days 19.0 hours 26.0 minutes 45.0 seconds'), ('Decline', '1.0 days 20.0 hours 7.0 minutes 8.0 seconds'), ('AR - Satisfied - advanced standing', '0.0 days 13.0 hours 11.0 minutes 6.0 seconds'), ('AR - Created - previous or current study', '0.0 days 0.0 hours 3.0 minutes 45.0 seconds'), ('Withdraw', '0.0 days 0.0 hours 3.0 minutes 36.0 seconds'), ('AR - Reviewed - ELR', '0.0 days 0.0 hours 1.0 minutes 36.0 seconds'), ('AR - Satisfied - further information', '0.0 days 0.0 hours 1.0 minutes 25.0 seconds'), ('OC - Not Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 37.0 seconds'), ('Restart Offer Workflow', '0.0 days 0.0 hours 0.0 minutes 26.0 seconds')]",6516746,91234446.0
6,6,36 days 18 hours 2 minutes 35 seconds,24.0 days 16.0 hours 41.0 minutes 58.5 seconds,13.89%,"[('Release Offer', 6), ('OC - Satisfied - Other', 5), ('Assessment Decision - Qualified', 5), ('Accept', 5), ('AR - Satisfied - advanced standing', 3), ('AR - Satisfied - application details', 2)]","[('AR - Satisfied - advanced standing', '4.0 days 9.0 hours 55.0 minutes 56.0 seconds'), ('AR - Satisfied - syllabus', '33.0 days 15.0 hours 58.0 minutes 32.0 seconds'), ('Assessment Decision - Qualified', '3.0 days 13.0 hours 36.0 minutes 21.0 seconds'), ('AR - Satisfied - Other', '27.0 days 20.0 hours 30.0 minutes 51.0 seconds'), ('Release Offer', '19.0 days 2.0 hours 58.0 minutes 47.0 seconds'), ('AR - Satisfied - further information', '10.0 days 15.0 hours 26.0 minutes 38.0 seconds'), ('OC - Created - Other', '0.0 days 8.0 hours 26.0 minutes 22.0 seconds'), ('OC - Reviewed - Other', '0.0 days 23.0 hours 46.0 minutes 35.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 23.0 hours 18.0 minutes 48.0 seconds'), ('OC - Satisfied - Other', '0.0 days 0.0 hours 57.0 minutes 15.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 1.0 minutes 54.0 seconds'), ('AR - Satisfied - GAM', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('AR - Satisfied - application details', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('Put Assessment On-Hold', '0.0 days 0.0 hours 0.0 minutes 54.0 seconds')]",3175355,19052133.0
7,2,108 days 9 hours 26 minutes 9 seconds,108.0 days 9.0 hours 26.0 minutes 9.0 seconds,14.29%,"[('Assessment Decision - Qualified', 3), ('Release Offer', 2), ('OC - Satisfied - Other', 2), ('Accept', 2), ('OC - Reviewed - Other', 1), ('Put Assessment On-Hold', 1)]","[('OC - Reviewed - Other', '43.0 days 4.0 hours 1.0 minutes 30.0 seconds'), ('Put Assessment On-Hold', '3.0 days 23.0 hours 27.0 minutes 20.0 seconds'), ('Release Offer', '2.0 days 22.0 hours 6.0 minutes 39.0 seconds'), ('Release Assessment Hold', '161.0 days 2.0 hours 28.0 minutes 48.0 seconds'), ('OC - Satisfied - Other', '1.0 days 4.0 hours 21.0 minutes 55.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 2.0 hours 20.0 minutes 44.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 4.0 minutes 57.0 seconds')]",9365169,18730338.0
8,1,77 days 0 hours 46 minutes 4 seconds,77.0 days 0.0 hours 46.0 minutes 4.0 seconds,0.0%,"[('Assessment Decision - Not Qualified', 2), ('OC - Not Satisfied - Other', 2), ('Release Offer', 1), ('End My Assessment', 1), ('Assessment Decision - No Decision', 1), ('Decline', 1)]","[('Assessment Decision - No Decision', '6.0 days 23.0 hours 10.0 minutes 53.0 seconds'), ('Release Offer', '51.0 days 22.0 hours 1.0 minutes 16.0 seconds'), ('End My Assessment', '18.0 days 2.0 hours 49.0 minutes 54.0 seconds'), ('Assessment Decision - Not Qualified', '0.0 days 0.0 hours 21.0 minutes 31.0 seconds'), ('Decline', '0.0 days 0.0 hours 0.0 minutes 29.0 seconds'), ('OC - Not Satisfied - Other', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]",6655564,6655564.0
11,1,38 days 2 hours 31 minutes 19 seconds,38.0 days 2.0 hours 31.0 minutes 19.0 seconds,9.09%,"[('Assessment Decision - Qualified', 3), ('Put Assessment On-Hold', 2), ('Release Assessment Hold', 2), ('OC - Satisfied - Other', 2), ('Release Offer', 1), ('Accept', 1)]","[('OC - Satisfied - Other', '6.0 days 3.0 hours 37.0 minutes 41.0 seconds'), ('Assessment Decision - Qualified', '5.0 days 15.0 hours 57.0 minutes 19.0 seconds'), ('Release Offer', '4.0 days 18.0 hours 58.0 minutes 43.0 seconds'), ('Release Assessment Hold', '2.0 days 0.0 hours 6.0 minutes 53.0 seconds'), ('Put Assessment On-Hold', '0.0 days 0.0 hours 1.0 minutes 5.0 seconds'), ('Accept', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]",3292279,3292279.0
