Number of Workflow processes in this Workflow Segment,Number of cases,average time for workflow segment,median time for workflow segment,percentage of cases reaching to end of workflow segment,Num of Occurrences per step(descending),Average time spends per step(descending),average time for workflow segment(seconds),sum time for workflow segment(seconds)
2,2,0 days 0 hours 0 minutes 12 seconds,0.0 days 0.0 hours 0.0 minutes 12.5 seconds,0.0%,"[('Assessment Outcome - Successful', 2), ('Create Offer', 2)]","[('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 12.0 seconds')]",12,25.0
3,753,0 days 2 hours 52 minutes 4 seconds,0.0 days 0.0 hours 2.0 minutes 14.0 seconds,100.0%,"[('Assessment Outcome - Successful', 753), ('Create Offer', 753), ('Release Offer', 753)]","[('Create Offer', '0.0 days 2.0 hours 51.0 minutes 50.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds')]",10324,7774016.0
4,322,0 days 8 hours 33 minutes 39 seconds,0.0 days 0.0 hours 2.0 minutes 21.5 seconds,99.69%,"[('Assessment Outcome - Successful', 325), ('Create Offer', 325), ('Release Offer', 321), ('OC - Created - Other', 300), ('Assessment Decision - Qualified', 13), ('Assessment Outcome - Ineligible / Withdrawn', 1)]","[('Create Offer', '0.0 days 6.0 hours 53.0 minutes 21.0 seconds'), ('OC - Created - Other', '0.0 days 1.0 hours 39.0 minutes 51.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 1.0 hours 17.0 minutes 8.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 1.0 minutes 19.0 seconds'), ('Assessment Outcome - Ineligible / Withdrawn', '0.0 days 0.0 hours 0.0 minutes 7.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 17.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 16.0 seconds')]",30819,9923843.0
5,24,2 days 10 hours 25 minutes 16 seconds,0.0 days 0.0 hours 2.0 minutes 48.0 seconds,95.83%,"[('Assessment Outcome - Successful', 27), ('Create Offer', 24), ('OC - Created - Other', 24), ('Release Offer', 23), ('Assessment Decision - Qualified', 13), ('Assessment Decision - No Decision', 3)]","[('Put Assessment On-Hold', '5.0 days 21.0 hours 42.0 minutes 24.0 seconds'), ('OC - Satisfied - Other', '4.0 days 21.0 hours 32.0 minutes 6.0 seconds'), ('Create Offer', '1.0 days 10.0 hours 20.0 minutes 12.0 seconds'), ('OC - Created - Other', '0.0 days 8.0 hours 16.0 minutes 20.0 seconds'), ('OC - Not Satisfied - Other', '0.0 days 2.0 hours 20.0 minutes 36.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 1.0 minutes 45.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 0.0 hours 1.0 minutes 21.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 0.0 minutes 36.0 seconds')]",210316,5047597.0
6,6,13 days 7 hours 51 minutes 37 seconds,0.0 days 0.0 hours 47.0 minutes 39.0 seconds,83.33%,"[('Assessment Outcome - Successful', 6), ('Create Offer', 6), ('OC - Created - Other', 6), ('Assessment Decision - Qualified', 5), ('Release Offer', 5), ('Put Assessment On-Hold', 2)]","[('Put Assessment On-Hold', '8.0 days 9.0 hours 24.0 minutes 38.0 seconds'), ('Unsuccessful', '59.0 days 4.0 hours 51.0 minutes 28.0 seconds'), ('AR - Satisfied - ELR', '2.0 days 23.0 hours 38.0 minutes 38.0 seconds'), ('Assessment Decision - No Decision', '0.0 days 23.0 hours 20.0 minutes 51.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 1.0 minutes 58.0 seconds'), ('Assessment Outcome - Higher Preference Successful', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 0.0 minutes 53.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 0.0 minutes 51.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 0.0 minutes 33.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds')]",1151497,6908986.0
7,1,0 days 0 hours 2 minutes 42 seconds,0.0 days 0.0 hours 2.0 minutes 42.0 seconds,100.0%,"[('OC - Created - Other', 2), ('Assessment Outcome - Successful', 1), ('Assessment Decision - Qualified', 1), ('Create Offer', 1), ('AR - Satisfied - ELR', 1), ('Release Offer', 1)]","[('Assessment Decision - Qualified', '0.0 days 0.0 hours 0.0 minutes 9.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 0.0 minutes 59.0 seconds'), ('AR - Satisfied - ELR', '0.0 days 0.0 hours 0.0 minutes 38.0 seconds'), ('OC - Created - Other', '0.0 days 0.0 hours 0.0 minutes 13.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds'), ('Release Offer', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]",162,162.0
9,1,5 days 5 hours 11 minutes 43 seconds,5.0 days 5.0 hours 11.0 minutes 43.0 seconds,100.0%,"[('Put Assessment On-Hold', 2), ('Release Assessment Hold', 2), ('Assessment Decision - Qualified', 2), ('Assessment Outcome - Successful', 1), ('Create Offer', 1), ('Release Offer', 1)]","[('Create Offer', '0.0 days 0.0 hours 9.0 minutes 35.0 seconds'), ('Put Assessment On-Hold', '0.0 days 0.0 hours 8.0 minutes 50.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 5.0 minutes 47.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 0.0 minutes 6.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 14.0 seconds'), ('Release Offer', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]",450703,450703.0
10,1,9 days 19 hours 20 minutes 19 seconds,9.0 days 19.0 hours 20.0 minutes 19.0 seconds,100.0%,"[('Assessment Decision - Qualified', 3), ('Assessment Decision - No Decision', 2), ('Assessment Outcome - Successful', 1), ('Create Offer', 1), ('Put Assessment On-Hold', 1), ('Release Assessment Hold', 1)]","[('Assessment Decision - No Decision', '4.0 days 9.0 hours 19.0 minutes 19.0 seconds'), ('Put Assessment On-Hold', '1.0 days 0.0 hours 11.0 minutes 44.0 seconds'), ('Release Assessment Hold', '0.0 days 0.0 hours 5.0 minutes 58.0 seconds'), ('Create Offer', '0.0 days 0.0 hours 20.0 minutes 47.0 seconds'), ('Assessment Decision - Qualified', '0.0 days 0.0 hours 0.0 minutes 20.0 seconds'), ('Assessment Outcome - Successful', '0.0 days 0.0 hours 0.0 minutes 16.0 seconds'), ('Release Offer', '0.0 days 0.0 hours 0.0 minutes 0.0 seconds')]",847219,847219.0
